Importers	2013-M10-Exported unit value, US Dollar/Kilograms	2013-M11-Exported unit value, US Dollar/Kilograms	2013-M12-Exported unit value, US Dollar/Kilograms	2014-M01-Exported unit value, US Dollar/Kilograms	2014-M02-Exported unit value, US Dollar/Kilograms	2014-M03-Exported unit value, US Dollar/Kilograms	2014-M04-Exported unit value, US Dollar/Kilograms	2014-M05-Exported unit value, US Dollar/Kilograms	2014-M06-Exported unit value, US Dollar/Kilograms	2014-M07-Exported unit value, US Dollar/Kilograms	2014-M08-Exported unit value, US Dollar/Kilograms	2014-M09-Exported unit value, US Dollar/Kilograms	2014-M10-Exported unit value, US Dollar/Kilograms	2014-M11-Exported unit value, US Dollar/Kilograms	2014-M12-Exported unit value, US Dollar/Kilograms	2015-M01-Exported unit value, US Dollar/Kilograms	2015-M02-Exported unit value, US Dollar/Kilograms	2015-M03-Exported unit value, US Dollar/Kilograms	2015-M04-Exported unit value, US Dollar/Kilograms	2015-M05-Exported unit value, US Dollar/Kilograms	Exported value in 2015-M05, US Dollar thousand	Exported quantity in 2015-M05, Kilograms	
"World"	5.72	5.94	5.83	5.70	5.70	5.77	6.10	6.16	5.90	6.18	6.50	6.37	5.90	6.01	5.33	5.30	5.21	4.73	4.54	4.73	21150	4466862	
"Romania"	8.56	6.30	5.77	4.89	5.18	5.32	4.95	6.14	6.79	7.10	9.51	8.15	6.66	7.93	8.16	6.76	4.46	3.15	4.13	3.98	1271	319618	
"Saudi Arabia"	5.86	5.88	5.74	8.03	5.98	5.63	5.58	5.10	6.67	5.70	6.89	8.70	7.27	8.12	5.98	5.77	5.80	5.04	6.80	5.68	1209	212679	
"Iraq"	4.28	4.82	5.55	4.30	5.03	4.91	5.87	4.70	4.20	5.26	5.87	5.57	4.78	4.49	4.99	4.56	3.96	3.59	3.82	4.24	1172	276588	
"Azerbaijan"	9.57	8.76	12	5.44	5.41	6.38	6.91	7.47	5.03	7.96	7.18	6.44	7.34	6.10	7.07	6.31	6.33	4.46	4.09	4.88	1152	235932	
"Italy"	5.41	5.80	4.61	4.84	4.27	4.77	4.57	4.54	5.56	4.50	4.10	5.17	5.09	3.85	4.36	3.24	3.89	3.44	3.38	3.53	1063	300926	
"United Kingdom"	7.78	8.34	7.22	8.56	9.35	8.03	9.29	8.34	8.42	10	8.77	8.08	9.07	8.59	7.73	8.28	6.96	8.25	7.65	7.11	1019	143269	
"United Arab Emirates"	6.96	5.50	6.47	5.64	6.77	6.81	8.60	7.67	6.09	6.36	6.86	5.83	8.22	7.52	8.16	5.30	5.63	5.52	6.23	7.74	1013	130958	
"Germany"	5.80	7.64	6.76	6.24	5.35	6.30	6.45	6.70	6.46	6.14	5.70	6.18	5.76	5.97	6.01	5.96	5.13	5.09	5.81	4.84	943	194763	
"Netherlands"	13	9.87	9.64	10	8.60	11	10	10	11	9.13	11	11	9.38	8.74	7.76	11	6.85	7.43	7.05	7.20	828	114925	
"Ecuador"			7.06			5.32	6.95	7.25	6.20		5.33		5.94		5.74		5.33	11	5.29	5.30	558	105285	
"Ukraine"	6.14	3.68	3.28	3.87	4.93	4.54	5.22	11	10	7.29	3.85	5.11	6.23	4.84	4.41	5.28	5.43	4.44	6.37	4.75	551	116090	
"Turkmenistan"	4.13	4.03	6.72	3.88	4.24	9.58	5.24	5.16	3.96	4.47	5.05	7.66	8.25	6.48	4.17	4.40	6.82	4.68	4.22	4.40	523	118804	
"Kazakhstan"	4.84	9.06	9.45	3.71	3.79	4.69	5.38	8.27	5.35	4.74	13	6.31	4.47	6.47	7.58	4.46	3.68	4.36	4.71	3.88	520	134015	
"France"	6.06	7.39	7.55	6.58	5.39	8.26	6.69	5.40	5.97	6.58	6.75	6.81	6.03	7.41	7.83	4.36	5.94	6.62	5.82	6.15	504	82008	
"Belgium"	5.39	6.90	9.58	5.53	4.70	5.53	8.38	5.76	5.75	6.54	5.50	5.49	4.87	5.73	5.83	4.19	5.71	4.65	5.11	5.45	476	87366	
"Denmark"	4.44	4.90	5.79	5.24	5.55	4.89	5.37	4.83	5.13	4.61	4.69	4.45	4.44	4.29	5.64	4.91	4.42	4.28	3.69	3.81	457	119973	
"Spain"	4.55	4.44	4.21	4.56	3.91	4.15	4.32	4.85	4.32	5.32	3.93	3.91	3.79	3.61	3.72	5.83	3.45	5.11	3.42	3.72	443	119188	
"Bulgaria"	5.14	5.18	5.30	5.17	5.35	5.53	5.20	5.15	5.11	5.57	5.80	5.16	4.84	4.95	4.90	4.99	4.95	3.71	3.79	4.12	436	105753	
"Poland"	6.74	16	3.84	8.25	7.93	6.73	7.03	7.19	7.42	5.55	5.11	7.51	7.39	4.78	4.95	5.68	5.69	5.41	4.68	4.38	418	95407	
"Israel"	6.10	5.33	5.35	5.82	5.80	5.37	5.59	6.17	5.41	5.47	5.62	5.04	5.09	5.41	5.32	4.53	4.47	5.79	4.41	4.91	413	84054	
"Morocco"		4.62	5.30	5.33	8.61	5.21	5.13	4.99	5.17	4.75	8.47	4.14	7.12	6.09	5.81	4.48	4.96	4.09	3.75	3.85	372	96671	
"Georgia"	4.76	6.60	5.41	5.23	7.56	5.21	5.79	4.76	4.71	5.53	5.62	7.85	6.53	6.36	4.49	4.71	6.70	4.71	3.94	4.33	354	81661	
"Uzbekistan"	10	8.09	4.75	5.15	8.16	3.86	4.41	2.79	4.15	5.91	5.75		6.50	4.02	4.44	7.81	14	4.77	3.97	3.41	328	96190	
"Norway"	7.80	9.42	9.82	8.82	9.33	7.65	11	9.45	8.92	8.14	7.92	7.58	9.32	6.88	4.73	7.34	7.53	7.39	4.64	7.36	313	42512	
"Malaysia"	5.36	5.35	6.03	5.11	5.11	4.47	4.93	4.77	4.90	4.48	4.80	5.65	5.13	4.78	4.49	4.83	4.83	4.99	4.58	5.02	307	61128	
"Serbia"	1.60	9.35	4.46	4.85	5.81	5.42	5.20	4.49	6.23	6.07	7.35	5.18	4.53		4.12	4.16	6.53	3.95	3.66	4.19	297	70896	
"Jordan"	12		5.84	4.89	4.90	4.50	4.53	7.24	6.36		5.06		7.14	4.44	4.45	4.72	3.77	4.64	4.83	4.58	290	63353	
"Egypt"	5.57	4.68	6.83	6.02	11	5.98	6.40	3.74	5.87	6.81	6.88	4.01	3.71	3.90	4.21	4.77	4.82	4.88	5.91	3.88	256	65975	
"Algeria"	5.83	5.90	4.24	3.43	4.43	4.22	4.81	4.79	4.67	3.86	5.06	3.88	4.83		4.39	3.92	4.26	4.75	3.73	4.03	235	58243	
"Libya, State of"	7.98	5.98	8.95	5.99	5.01	4.52	5.61	5.74	4.19	7.07	2.26	4.70	3.94	4.69	3.70	7.00	5.63	4.60	5.87	4.39	231	52597	
"Sweden"	7.89	7.66	11	8.56	8.96	7.78	8.63	8.88	10	8.45	8.53	9.77	7.63	7.60	6.91	7.91	6.34	6.61	7.44	7.15	223	31198	
"Cyprus"	13	2.14	8.40	8.55	6.23	5.75	7.01	7.57	8.36	9.21	8.77	8.51	7.27	3.27	5.05	6.78	5.10	3.82	4.95	5.10	193	37872	
"Hungary"	5.61	4.31	7.53	4.64	10	7.26	6.05	9.88	4.91	5.29	6.97	8.83	5.14	8.46	8.78	8.40	5.75	4.58	3.71	4.55	192	42167	
"Greece"	7.37	6.34	6.13	7.02	8.72	8.46	6.79	5.18	5.14	6.22	6.33	7.09	5.25	5.92	6.54	5.88	6.19	5.05	5.01	4.56	186	40800	
"Czech Republic"	7.99	7.65	4.41	4.71	4.42	5.88	8.31	7.99	8.00	7.36	5.64	5.52	6.86	5.03	5.22	4.74	4.57	7.01	4.35	5.67	164	28911	
"Macedonia, The Former Yugoslav Republic of"	1.86	9.68	2.03	4.52	3.95	4.97	5.22	4.22	4.74	4.07	3.99		4.59	7.17	3.45	9.52	2.72	3.82	3.42	4.05	159	39294	
"Switzerland"	9.88	5.55	6.02	6.92	6.05	6.88	7.06	6.41	6.49	6.57	6.28	5.92	5.98	5.16	5.42	5.63	5.18	4.99	4.37	5.26	154	29292	
"Albania"	1.82	4.73	4.49	2.48	4.29	4.71	4.27	4.41	4.04	3.61	3.77	10	6.52		3.37	3.35	4.72	3.21	3.31	3.07	149	48523	
"Tunisia"		18	7.2		4.37	8.18	5.94	8.29	3.99	9.00	5.68	5.20	7.25		5.02	11	5.20	4.87	2.68	3.89	139	35720	
"Slovenia"		8.16				6.16	5.01	4.22	5.92			4.83						3.87	4.14	4.03	134	33270	
"Russian Federation"	6.12	4.64	8.49	8.81	7.91	6.17	6.53	8.95	5.99	5.13	5.02	4.70	5.32	4.55	4.14	3.92	8.05	5.03	5.62	4.20	117	27860	
"Moldova, Republic of"	4.33	4.76	15	6.29	5.47	3.97	6.08	5.78		8.64	4.77	4.94	5.21	5.24	7.10	4.85	3.94	3.86	3.82	3.63	116	31966	
"Lebanon"	7.10	4.36	3.95	4.64	4.50	6.15	4.72	6.20	5.22	6.24	4.44	5.49	7.01	4.77	3.63	3.24	3.60	3.50	3.23	3.79	91	24017	
"Bosnia and Herzegovina"	1.04			5.04	5.46	4.79	5.29	4.91	4.74	4.51			8.05	4.36	7.86	4.22	6.68	3.71	3.87	3.96	85	21458	
"United States of America"	23	21	22	18	10	21	21	12	9.63	11	7.97	7.80	8.17	7.14	14	16	21	10	13	9.26	81	8751	
"Slovakia"	11	3.74	6.24	14		5.48	7.69	4.93	4.73		7.70	4.60	6.55	3.35	3.48	5.59	15	4.65	3.74	4.23	77	18220	
"Croatia"	7.44	7.14	7.60		5.13	5.28	4.83	4.76	5.19	6.81	5.28	6.00	7.18	7.46	6.26	6.06	4.00	3.88	3.96	3.83	65	16950	
"Montenegro"			4.08	5.03	5.70	4.75	8.25	4.15	6.19	6.17		7.34			6.83	3.85	7.74	3.27	4.05	3.98	63	15824	
"Oman"	11		5.68	5.02		7.68	4.11	4.49	10	7.68		5.77		10	10	10		11	12	11	61	5678	
"Kuwait"		6.92	5.45	6.20	6.20	9.11	6.25	8.14	4.49	7.43	7.43	4.71	4.97	6.00	4.86	6.82	5.77	5.86	8.09	4.94	60	12154	
"Iran, Islamic Republic of"	60		7.42	7.70	13	23	8.60	5.71	5.61	5.02	7.43	6.43	4.50	5.00	3.15	3.33	3.82	4.39	3.71	5.08	58	11408	
"Ghana"		0.85	7.99	14	3.58			6.62				6.38	14	5.82	5.15	5.19			8.06	9.46	48	5074	
"Portugal"		5.13		5.01	4.84	5.43	5.69	4.95	5.07	5.01	4.50	4.13	4.80	6.11	5.08	4.02		4.66	4.01	3.70	47	12697	
"Tajikistan"	5.12					6.34	6.34	5.06	9.43	9.65	4.49	4.89	4.49	3.48		9.09	4.05	4.16	4.19	5.51	43	7800	
"Lithuania"						4.77	7	9.05	5.51										4.18	6.65	43	6462	
"Latvia"		8.26				4.30	6.56	6.24	5.38				6.10							5.73	38	6636	
"Australia"	9.32	5.63	5.16	5.08	4.82	4.96	4.94	4.90	5.22	6.22	5.21	5.73	4.72	7.01	6.95	5.42		4.72	6.81	4.90	38	7760	
"Japan"			11		15	19	21	23	17	20	18	20	19	17	22	17	18	17	17	14	33	2417	
"Chile"	6.25	8.63		11			8.57	6.84		7.11	5.00	7.31		5.17	6.44	4.72		5.93		6.63	32	4824	
"Malta"		6.07	8.70	8.37		8.06			6.94	8.31			11		4.37			4.91		5.77	30	5198	
"Iceland"						4.04		4.55	6.62	4.04								6.68		3.37	28	8301	
"Ireland"	11	8.74		7.08	5.54	6.82	17		8.46	6.83		8.27	6.76	5.53	5.72	6.02	7.35	7.05	4.87	7.26	27	3720	
"Kyrgyzstan"			15		3.67	3.71	3.59	4.59	5.53	4.20	4	3.74	4.10	3.78	8.74			4.39	3.57	4.06	25	6162	
"Tanzania, United Republic of"		9.66	10	18	14	21	7.54			5.03		12		16	7.09	6.38	12		4.50	3.87	25	6467	
"Singapore"	24	17		4.92	5.42			4.83		4.54		11	2.30		4.60	16		12	5.65	4.49	20	4455	
"Hong Kong, China"		8.70		4.62	9.30	16			15	10	3.77			14	7.41					4.36	18	4131	
"Cambodia"	24					26										3.66				8.72	17	1950	
"Peru"														7.30	5.38	4.04		8.47	4.99	4.53	14	3088	
"India"					24		4.36		15	12	12				5.93			19	4.17	2.78	14	5036	
"Uganda"		15	16		13	5.90			1.26	5.53		12	14			13	5.16	31	5.02	3.04	13	4280	
"Bahrain"			5.37	5.02	7.99	6.05	12	5.93	5.18		5.97		10	11	7.19			5.52		5.79	11	1900	
"Palestine, State of"																			9.26	5.15	10	1942	
"Sudan (before 2012)"			12	7.18				5.13	11			13	6.45			5.53	12			11	9	820	
"Free Zones"		0	0	38		15	67		42		25	52	16	33	17		39	46		6.51	7	1076	
"Estonia"	12	8.18				4.28	4.94	8.04	8.68						4.41		3.65	4.60		17	6	363	
"Austria"	9.23	6.74	10	5.26	10	8.28	14	11	5.70	8.41	10	9.12	5.73	4.20	10	5.24	4.01	4.63	8.87	2.38	5	2101	
"Qatar"	7.15	12	6.18	7.82	7.36	8.00	6.70	8.30	7.33			5.18	7.68	7.49	12	9.62	8.79	10	5.18	6.86	5	729	
"Mauritius"		6.19	4.27			13	7.69	8.93				6.21	10	9.08	7.46			6.41	9.29	10	5	500	
"Congo"			12	4.27	19				25	12		5.05						3.00		18	4	222	
"China"		17											10	9.46		11				9.97	3	301	
"Mauritania"		34					4.44		27	4.65				11		7.01		5.56	3.47	6.88	3	436	
"Viet Nam"									9.04	9.97		10	9.47		4.05				9.09	6.08	2	329	
"Finland"	4.57	7.30	4.11	40	6.52	6.90	4.33	9.14	4.74	6.68		6.49	4.47	21	11	4.24		5.27	3.59	4.44	2	450	
"Guinea"				4.27	4.15							4.59						17	3.08	5	2	400	
"Syrian Arab Republic"			5.64		30	20		0.27	2.12	3.51	3.77			2.63			2.5	2.22	2.56	1.71	1	585	
"Somalia"	6.24					28			5.12	5.66											0		
"South Africa"			5.93	22	3.48	25	3.57			11		10		6.25							0		
"Thailand"				24		23			24		7.66										0		
"Togo"							6.25														0		
"Trinidad and Tobago"								4.16					4.16								0		
"Venezuela, Bolivarian Republic of"								16				8.10									0		
"Yemen"	17		5.49		6.46		5.52	6.32						5.98	8	9.04		6.68			0		
"Zambia"								4.07											3.23		0		
"Burkina Faso"					6.31							2.09							5		0		
"Uruguay"		6.73			4.50			4.95					6.31	6.22	4.25			3.73			0		
"Seychelles"									3.03				6.90	5.69							0		
"Sierra Leone"				4.27																	0		
"Senegal"	6.99		5.75				4.38	4.01				4.69	6.43						7.78		0		
"Rwanda"			5.24							4.71				10							0		
"Philippines"					7.69						9.24	13	7.69				6.41				0		
"Pakistan"			7.47	6.96	12			38	4.99			16				4.32	7.48		7.72		0		
"Paraguay"			11		4.28	3.80	4.19				3.98	4.27	4.32		3.84		7.38				0		
"Maldives"									8.20							8.51		8.20			0		
"Mali"		1.44									6.41	13	22						9.59		0		
"Mexico"	9.01	8.28		4.26	5.14			3.76	4.28			4.71		4.51	8.93	5.78					0		
"Taipei, Chinese"								24		24				24							0		
"Mongolia"						13															0		
"Mozambique"		15								6.41											0		
"New Caledonia"										4.03						3.39		4			0		
"New Zealand"	22	6.80	31	4.50	6.80	24	11				9.45	16		21	5.87						0		
"Niger"	4.21																		4.71		0		
"Nigeria"	7.63			3.08		10	9.30	6.67						7.31	14	4.98	28	6.32	6.53		0		
"Honduras"																			3.32		0		
"Indonesia"	3.37	3.43	3.24	4.64	2.33	4.51			3.87	3.74	5.09	3.75	3.88	4.72	4.36			5.34	4.42		0		
"Gambia"			4.27																		0		
"Guatemala"						4.42															0		
"Liberia"					4.27			12											8.02		0		
"Luxembourg"						5.72	5.33											4.01			0		
"Madagascar"												6.4	7.02								0		
"Côte d'Ivoire"				14	10		7.48	13	11	5.56		7.39		16				8.98			0		
"Kenya"	8.86	16		5.05	10	8.21	7.70	3.92		4.46	8.78	4.96	15	5.50	4.05	18	6.22	3.96	9.66		0		
"Korea, Republic of"						7.14			6.39	6.48			5.69	5.93		4.57		5.44	4.30		0		
"Djibouti"								19	10	12			11								0		
"Gabon"			4.8		4.17					4.08	5.10	9.10				3.74			3.18		0		
"Benin"														7.63							0		
