Importers	2009-M01-Exported unit value, US Dollar/Kilograms	2009-M02-Exported unit value, US Dollar/Kilograms	2009-M03-Exported unit value, US Dollar/Kilograms	2009-M04-Exported unit value, US Dollar/Kilograms	2009-M05-Exported unit value, US Dollar/Kilograms	2009-M06-Exported unit value, US Dollar/Kilograms	2009-M07-Exported unit value, US Dollar/Kilograms	2009-M08-Exported unit value, US Dollar/Kilograms	2009-M09-Exported unit value, US Dollar/Kilograms	2009-M10-Exported unit value, US Dollar/Kilograms	2009-M11-Exported unit value, US Dollar/Kilograms	2009-M12-Exported unit value, US Dollar/Kilograms	2010-M01-Exported unit value, US Dollar/Kilograms	2010-M02-Exported unit value, US Dollar/Kilograms	2010-M03-Exported unit value, US Dollar/Kilograms	2010-M04-Exported unit value, US Dollar/Kilograms	2010-M05-Exported unit value, US Dollar/Kilograms	2010-M06-Exported unit value, US Dollar/Kilograms	2010-M07-Exported unit value, US Dollar/Kilograms	2010-M08-Exported unit value, US Dollar/Kilograms	Exported value in 2010-M08, US Dollar thousand	Exported quantity in 2010-M08, Kilograms	
"World"	4.08	3.87	3.79	3.89	3.89	4.07	3.98	4.17	4.40	4.34	4.30	4.21	4.35	4.05	4.19	4.22	4.14	4.07	4.04	4.08	14315	3506829	
"United Kingdom"	3.56	3.69	3.57	3.56	3.68	3.77	3.68	3.90	4.45	4.29	4.29	3.76	4.11	3.97	4.22	3.81	3.96	3.98	4.04	4.06	3940	970421	
"France"	3.75	3.18	3.28	3.56	3.59	3.60	3.64	3.62	3.63	3.75	3.57	3.74	3.78	3.51	3.51	3.64	3.45	3.38	3.71	3.65	1778	487538	
"Germany"	4.03	3.56	3.18	3.41	3.20	3.05	3.89	4.24	4.39	3.77	4.31	4.21	4.51	5.29	4.54	5.02	7.39	4.25	3.99	5.25	1450	275993	
"Iran, Islamic Republic of"		5.01	5.34	3.71	5.24	7.04	5.15	5.29	5.57	5.06	5.64	5.40	4.99	5.22	4.90	5.79	5.11	4.49	4.97	4.62	828	179242	
"Spain"	3.88	3.80	3.97	4.27	4.02	4.06	4.07	4.44	4.51	4.21	4.14	4.15	4.37	3.92	4.14	4.09	3.61	3.53	3.99	3.96	720	181886	
"Egypt"			0		4.55				4.91	4.74	4.90	4.67		4.45	4.56	4.54		4.03	4.06	4.09	491	120116	
"Israel"	4.36	3.86	4.02	4.12	4.17	4.51	4.50	4.54	5.20	4.39	4.58	4.25	4.91	4.38	4.35	4.48	3.97	4.16	4.10	3.83	490	127965	
"Italy"	3.78	4.16	3.68	3.73	3.79	3.97	3.90	3.70	4.20	4.09	3.40	4.26	3.80	3.64	3.88	3.91	3.67	3.69	3.95	3.97	486	122529	
"Ukraine"		5.18	5.43	10	13		4.52	4.83	4.63	4.92	4.70	13		5.01	4.63	4.35	7.46	3.83	3.79	3.97	442	111295	
"Sweden"	4.12	4.15	4.29	4.49	4.55	4.81	5.26	5.17	5.31	5.45	5.09	5.00	5.12	4.66	4.27	4.29	3.97	3.89	4.24	4.26	392	91924	
"Belgium"	4.32	4.22	4.09	4.25	4.23	4.94	4.94	4.60	4.79	4.95	5.10	5.53	5.18	4.32	4.63	4.07	3.89	3.59	4.01	3.63	353	97373	
"Poland"	3.67	3.52	3.17	3.27	3.40	3.27	3.05	3.13	3.11	3.48	2.92	2.97	3.43	3.25	3.41	3.41	3.30	3.01	3.34	3.56	320	89765	
"Netherlands"	7.99	4.54	4.45	5.08	5		5.23	4.51	4.17	7.93	4.32	3.44	3.75	3.13	3.43	3.55	3.07	3.98	3.33	3.38	275	81296	
"Switzerland"	5.40		4.43		4.51	5.56	5.75	6.69		4.67	4.53	5.62	5.19	4.67	3.57	4.45	3.31	3.79	3.71	3.65	237	64877	
"Hungary"	3.60	3.16	3.44	3.35	3.42	3.08	3.20	2.90	2.88	3.50	2.83	2.94	3.23	3.41	3.43	3.06	2.96	3.42	3.65	3.29	223	67799	
"Austria"	4.59	4.90	4.71	4.85	4.16	4.29	3.84	4.43	4.79	4.32	3.68	3.81	4.09	3.67	4.03	4.42	3.34	3.59	3.72	3.85	191	49644	
"Portugal"	4.71	3.31	4.55	5.27	4.59	3.97	4.54	5.28	4.68	4.09	5.15	5.26	4.78	3.92	4.66	4.30	3.56	4.15	4.35	4.34	142	32723	
"Bulgaria"	4.63	2.82	5.15	4.07	3.41	4.33	3.99	4.57	3.97	4.49	3.56	3.88	3.71	3.84	3.84	4.06	3.46	3.46	3.53	3.99	134	33563	
