Importers	2015-M05-Exported unit value, US Dollar/Kilograms	2015-M06-Exported unit value, US Dollar/Kilograms	2015-M07-Exported unit value, US Dollar/Kilograms	2015-M08-Exported unit value, US Dollar/Kilograms	2015-M09-Exported unit value, US Dollar/Kilograms	2015-M10-Exported unit value, US Dollar/Kilograms	2015-M11-Exported unit value, US Dollar/Kilograms	2015-M12-Exported unit value, US Dollar/Kilograms	2016-M01-Exported unit value, US Dollar/Kilograms	2016-M02-Exported unit value, US Dollar/Kilograms	2016-M03-Exported unit value, US Dollar/Kilograms	2016-M04-Exported unit value, US Dollar/Kilograms	2016-M05-Exported unit value, US Dollar/Kilograms	2016-M06-Exported unit value, US Dollar/Kilograms	2016-M07-Exported unit value, US Dollar/Kilograms	2016-M08-Exported unit value, US Dollar/Kilograms	2016-M09-Exported unit value, US Dollar/Kilograms	2016-M10-Exported unit value, US Dollar/Kilograms	2016-M11-Exported unit value, US Dollar/Kilograms	2016-M12-Exported unit value, US Dollar/Kilograms	Exported value in 2016-M12, US Dollar thousand	Exported quantity in 2016-M12, Kilograms	
"World"	4.73	4.93	5.29	5.51	6.08	5.46	4.97	4.67	4.90	4.79	4.75	4.66	4.85	4.71	4.85	5.30	5.51	5.63	5.04	4.41	14726	3338767	
"United Kingdom"	7.11	7.80	9.40	9.05	11	8.11	5.87	6.32	8.47	7.30	6.49	4.71	8.88	9.64	7.71	8.75	7.90	9.21	7.24	6.54	1508	230633	
"Iraq"	4.24	3.67	3.80	4.01	3.57	3.70	3.69	3.61	3.20	3.75	3.25	3.71	3.58	3.37	3.11	3.40	3.10	3.45	3.63	3.36	1363	405063	
"Germany"	4.84	4.99	6.51	4.80	5.20	5.47	4.27	4.97	4.86	5.33	5.18	6.75	5.40	5.48	5.99	5.48	6.56	6.62	6.09	5.38	823	152950	
"Bulgaria"	4.12	4.41	3.88	4.07	4.19	4.65	4.87	4.46	3.31	4.14	4.74	3.91	3.90	3.98	3.94	3.42	3.61	3.45	3.29	3.61	709	196409	
"Saudi Arabia"	5.68	6.32	5.73	5.34	6.62	5.63	5.60	5.06	6.48	6.34	4.68	4.47	5.05	4.02	4.32	6.31	5.05	5.77	5.37	4.79	707	147732	
"Bangladesh"		2.46	11	2.98	2.92	4.09	2.17	1.52	3.40		2.89		4.82	2.37	2.56	2.52	2.52	2.84	2.69	3.12	703	225361	
"Israel"	4.91	4.71	4.47	4.59	5.05	6.00	4.34	4.25	4.54	4.52	5.00	4.70	4.75	4.43	4.16	4.51	4.29	4.45	4.81	4.43	484	109144	
"Iran, Islamic Republic of"	5.08	3.61	4.68	4.51	6.71	3.96	4.57	4.83	3.51	5.16	6.28	4.12	4.17	5.41	4.64	6.36	6.08	5.30	3.47	4.71	443	94075	
"Belgium"	5.45	4.32	4.41	3.83	4.54	4.24	4.20	5.39	4.99	4.10	4.19	4.89	4.34	5.27	4.39	4.87	5.37	4.53	3.92	3.93	402	102365	
"Netherlands"	7.20	5.69	6.61	8.08	8.86	7.84	9.02	7.72	8.24	6.98	7.91	9.53	8.40	8.15	7.71	8.68	8.64	7.20	8.32	5.57	398	71423	
"Italy"	3.53	3.68	3.55	4.29	3.82	3.48	4.90	3.68	3.64	3.43	3.37	3.74	3.79	3.46	3.69	3.69	3.77	3.50	3.50	3.17	386	121868	
"United States of America"	9.26	18	19	18	8.34	20	9.59	12	9.87	13	12	12	12	10	12	13	11	10	11	9.64	369	38284	
"Romania"	3.98	4.67	4.63	5.79	5.04	8.40	5.40	4.89	4.60	3.83	3.96	4.56	5.64	5.43	5.13	6.56	5.69	7.48	6.88	3.97	349	87946	
"Lebanon"	3.79	5.42	5.13	5.78	3.97	3.86	4.68	3.02	3.07	3.20	3.97	3.99	5.45	3.64	3.87	3.21	4.51	4.08	2.94	2.50	342	136893	
