Importers	2010-M08-Exported unit value, US Dollar/Kilograms	2010-M09-Exported unit value, US Dollar/Kilograms	2010-M10-Exported unit value, US Dollar/Kilograms	2010-M11-Exported unit value, US Dollar/Kilograms	2010-M12-Exported unit value, US Dollar/Kilograms	2011-M01-Exported unit value, US Dollar/Kilograms	2011-M02-Exported unit value, US Dollar/Kilograms	2011-M03-Exported unit value, US Dollar/Kilograms	2011-M04-Exported unit value, US Dollar/Kilograms	2011-M05-Exported unit value, US Dollar/Kilograms	2011-M06-Exported unit value, US Dollar/Kilograms	2011-M07-Exported unit value, US Dollar/Kilograms	2011-M08-Exported unit value, US Dollar/Kilograms	2011-M09-Exported unit value, US Dollar/Kilograms	2011-M10-Exported unit value, US Dollar/Kilograms	2011-M11-Exported unit value, US Dollar/Kilograms	2011-M12-Exported unit value, US Dollar/Kilograms	2012-M01-Exported unit value, US Dollar/Kilograms	2012-M02-Exported unit value, US Dollar/Kilograms	2012-M03-Exported unit value, US Dollar/Kilograms	Exported value in 2012-M03, US Dollar thousand	Exported quantity in 2012-M03, Kilograms	
"World"	5.23	6.18	6.33	6.04	5.77	5.22	5.19	5.34	6.07	5.89	5.88	6.19	6.35	5.80	6.50	5.98	5.81	5.94	5.21	5.23	28436	5433688	
"United Kingdom"	5.05	6.05	6.86	6.09	5.56	6.29	6.19	6.31	7.11	7.89	6.93	6.64	7.27	6.59	7.04	7.31	6.81	7.32	7.95	8.43	2728	323456	
"Iraq"	3.67	4.14	4.27	3.90	3.84	3.45	4.65	4.06	5.20	5.20	4.19	5.01	3.80	4.68	4.54	4.04	4.71	4.73	4.19	3.83	1966	513043	
"Kazakhstan"	5.18	4.70	6.95	6.04	3.94	4.57	4.92	3.91	3.20	1.86	4.03	4.48	4.35	4.08	9.88	9.67	3.97	5.70	4.86	4.66	1888	405440	
"France"	5.45	7.03	6.80	6.49	5.64	5.88	5.23	6.19	5.62	6.03	6.20	5.89	6.34	5.45	8.41	7.03	5.51	4.80	5.18	5.75	1808	314536	
"Romania"	4.79	4.89	4.27	4.27	3.99	6.44	4.23	4.89	4.85	5.02	5.30	5.58	7.63	9.57	9.30	4.86	4.93	5.04	5.53	5.29	1622	306661	
"Georgia"	4.09	8.14	3.54	8.10	6.99	4.86	4.62	4.70	4.83	5.07	5.14	4.73	4.83	4.20	4.75	4.35	5.00	5.90	4.09	3.70	1554	420449	
"Bulgaria"	3.61	4.58	5.67	4.42	4.26	3.89	4.92	5.55	5.51	5.41	5.69	6.00	5.15	5.22	5.58	6.69	4.98	4.73	4.85	5.09	1276	250626	
"Ukraine"	5.71	5.18	9.50	6.87	4.33	4.66	4.50	4.29	5.22	5.57	5.83	5	6.54	6.76	6.61	4.36	6.18	8.31	3.58	4.16	1247	300050	
"Italy"	9.02	5.22	5.34	7.10	4.28	9.30	7.17	8.14	8.12	11	6.54	8.45	9.55	4.80	4.93	4.41	10	8.60	6.77	4.45	1175	263813	
"Croatia"	5.70	14			4.52	11	4.39	5.19	5.60	5.19	4.88	5.10	4.53	0		7.83		13	4.37	4.87	1084	222499	
"Netherlands"	8.73	8.39	10	8.34	9.35	8.48	9.29	8.73	10	11	11	12	13	12	9.97	8.64	8.68	10	9.49	11	891	78945	
"Germany"	5.72	4.91	5.48	5.31	6.35	5.97	5.05	5.24	6.12	6.72	5.81	5.92	5.87	5.35	5.27	6.06	6.74	5.89	5.37	5.26	850	161621	
"Denmark"	4.24	5.42	4.49	4.29	5.97	4.81	4.64	5.41	5.51	5.51	4.82	5.10	4.90	4.59	4.94	4.70	4.72	4.85	5.00	5.08	816	160669	
"Serbia"	3.10	0	14	0	5.70	0.47	4.57	5.33	5.30	5.14	5.15	5.49	5.70	6.10	7.65	5.10	5.74	10	5.23	4.98	750	150626	
"Hungary"	4.43	5.79	6.92	7.28	4.75	5.31	4.69	5.21	7.13	5.47	4.79	6.78	5.80	6.38	7.07	4.91	5.04	12	10	6.14	589	95973	
"Sweden"	4.78	7.56	4.70	6.54	5.64	6.15	7.28	4.85	6.56	6.98	8.01	6.90	9.27	9.68	8.22	9.28	4.71	7.07	8.69	8.12	570	70192	
"Russian Federation"	7.90	7.80	8.44	5.30	7.50	4.87	4.16	5.32	5.62	5.06	5.64	5.49	7.35	4.19	5.20	8.17	4.70	4.56	6.27	6.56	560	85337	
"Israel"	5.79	5.68	5.51	5.55	5.81	5.51	6.59	5.90	5.28	5.96	5.35	6.53	5.40	5.67	5.41	5.15	5.48	6.39	5.80	5.83	524	89805	
"Azerbaijan"	6.06	8.91	10	5.73	5.26	4.50	4.83	4.58	5.43	4.55	4.90	5.67	7.02	4.78	8.00	8.62	7.98	4.50	4.89	5.68	491	86513	
"Morocco"	6.22	19	2.5			4.31	4.34	5.04	5.49	5.71	5.23	5.18	4.16	3.52	4.86	4.48	4.51	4.31	4.60	4.25	458	107811	
"Norway"	6.57	7.95	12	8.22	10	8.59	8.37	8.83	8.71	8.27	8.82	11	9.21	8.18	7.09	7.07	8.12	8.28	8.28	8.49	405	47706	
"Bosnia and Herzegovina"		5.43	9.09	4.66		0.36	5.30	4.76	4.34	4.50	5.12	12	4.50		12	30			5.10	4.35	326	74997	
"Uzbekistan"	16	15	5.26	7.35	16	1.55	9.09	5.63	4.24	3.40	4.32	3.33	3.65		18	6.43	8.62		4.88	4.79	293	61202	
"Lebanon"	3.85	7.42	3.97		9.32	4.02	3.87	4.82	5.23	3.92	5.88	5.84	5.85	7.41	12			3.62	3.68	5.67	281	49570	
"Tunisia"					7.26	4.38		4.49	4.34	6.04	4.87	6.17	5.82	9.74			4.66	6.64	25	4.27	276	64623	
"Greece"	4.71	5.39	7.45	6.51	5.67	6.06	6.26	8.35	7.94	6.39	6.59	7.35	6.46	6.81	5.36	6.81	6.36	4.81	6.98	7.34	272	37068	
"Kyrgyzstan"						4.18	4	5.51	5.15		4.43	7.25	4.65	3.09			4.33	4.98		4.59	257	55945	
"Turkmenistan"	3.59		13	7.53	5.01	4.86	4.72	4.47	4.27	4.62	5.30	5.80	9.35	4.82	4.18	16	8.40	5.13	4.68	4.35	212	48782	
"Australia"	11	5.70	6.54		4.63		4.93	4.98	5.79	12	4.60	5.51	10	8.38	11	7.43	10	4.66	5.66	8.02	203	25301	
"Saudi Arabia"	9.79	4.69	8.42	6.93	7.69	6.09	6.19	11	10	4.46	5.84	5.88	9.37	6.93	10	3.80	5.57	5.87	5.92	7.55	200	26504	
"Czech Republic"	7.21	11	9.07	8.78	7.44	6.60	7.32	11	11	7.39	11	6.32	6.71	7.70	8.21	6.77	5.93	8.43	9.41	5.06	190	37570	
"Belgium"	4.55	7.41	6.05	7.39	5.00	5.29	6.30	6.46	6.46	6.20	5.85	6.55	5.10	4.97	5.94	7.11	5.95	6.11	4.27	4.10	161	39297	
"Spain"	3.97	4.31	4.19	8.89	4.08	6.65	5.11	4.33	8.99	5.47	5.23	5.58	5.60	4.24	4.83	6.36	4.74	4.32	6.83	4.28	160	37402	
"Jordan"	4.13		4.61	9.64	5.95	5.92		4.64	6.23	6.77	5.11	6.74	6.89	3.85		4.58	4.21	4.36	4.28	8.49	154	18134	
"Oman"	3.63	5.26	9.26				0	5.23		4.19	5.26		7.79		5.06					5.61	152	27110	
"Switzerland"	5.36	4.69	6.08	7.01	5.97	6.82	5.53	7.38	7.13	6.71	6.51	8.78	8.50	7.20	6.30	5.18	11	4.86	7.12	5.68	149	26226	
"Iran, Islamic Republic of"	3.99	4.66	4.04	3.49	5.07	4.42	5.30	5.87	5.35	4.49	4.80	4.80	4.27	5.45	4.69	4.67	3.50	2.72	4.13	4.66	148	31785	
"United Arab Emirates"	4.77	6.11	7.36	7.12	6.75	7.93	6.74	5.31	6.45	5.81	6.31	5.96	10	5.51	5.17	5.12	4.07	13	6.02	6.11	139	22749	
"United States of America"	23	15	0	23	16	8.66	21	5.68	8.02	6.34	14	10	18	34	16		16	9.97	5.83	21	134	6439	
"Bangladesh"										42		5.41					9.91			4.55	130	28560	
"Montenegro"							4.94	4.61	4.73	4.65	4.67	5.06	4.77		7.51			6.37	5.15	4.37	120	27489	
"Egypt"	6.61	6.31		7.27	5.97	5.91	7.39	4.24	4.22	4.28	5.02	7.46	7.53	5.37	6.93	4.68	3.99	4.72	5.34	5.15	119	23093	
"Albania"	2.88				4.43	4.68	5.02	3.76	3.53	3.90	3.61	3.26	10	13	3.13	5.12	2.56			4.02	110	27389	
"Cyprus"	11	9.54	4.07	9.95	7.51	2.98	4.91	4.51	7.02	6.80	8.32	5.99	9.04	11	9.22	11	6.42	27	5.23	4.69	107	22803	
"Libya, State of"	3.67	9.26	9.19	13	19	6.98	8.95				8.79		5.12	5.37	5.17	13	21	4.53	11	6.01	96	15961	
"Kenya"				7.05			5.52	7.68	7.06	9.07	12	8.98	7.79	8.31	11	11	8.89	9.27		11	92	8346	
"Moldova, Republic of"	3.98	5.17			3.46	4.17	4.73	5.00	4.31	4.58	5.03	5.54	4.73	5.13		3.30	4.09	9.09	4.51	3.64	75	20620	
