Importers	2004-M04-Exported unit value, US Dollar/Kilograms	2004-M05-Exported unit value, US Dollar/Kilograms	2004-M06-Exported unit value, US Dollar/Kilograms	2004-M07-Exported unit value, US Dollar/Kilograms	2004-M08-Exported unit value, US Dollar/Kilograms	2004-M09-Exported unit value, US Dollar/Kilograms	2004-M10-Exported unit value, US Dollar/Kilograms	2004-M11-Exported unit value, US Dollar/Kilograms	2004-M12-Exported unit value, US Dollar/Kilograms	2005-M01-Exported unit value, US Dollar/Kilograms	2005-M02-Exported unit value, US Dollar/Kilograms	2005-M03-Exported unit value, US Dollar/Kilograms	2005-M04-Exported unit value, US Dollar/Kilograms	2005-M05-Exported unit value, US Dollar/Kilograms	2005-M06-Exported unit value, US Dollar/Kilograms	2005-M07-Exported unit value, US Dollar/Kilograms	2005-M08-Exported unit value, US Dollar/Kilograms	2005-M09-Exported unit value, US Dollar/Kilograms	2005-M10-Exported unit value, US Dollar/Kilograms	2005-M11-Exported unit value, US Dollar/Kilograms	Exported value in 2005-M11, US Dollar thousand	Exported quantity in 2005-M11, Kilograms	
"World"	3.73	3.77	3.86	3.98	3.98	3.87	4.14	4.20	4.48	4.05	4.11	4.25	4.10	4.19	4.16	4.31	4.23	4.24	4.30	4.25	3190	750606	
"United Kingdom"	3.72	3.80	3.89	3.85	3.72	3.64	4.25	4.17	4.55	3.86	4.20	4.52	5.13	4.66	4.43	4.64	4.26	4.44	4.33	4.54	1289	284129	
"France"	3.46	3.52	3.82	3.43	3.81	3.41	3.44	3.76	3.91	4.05	3.79	3.84	3.38	3.73	3.62	3.42	3.41	3.44	3.43	3.27	333	101699	
"Belgium"	3.77	3.62	3.90	3.95	4.11	4.26	4.03	4.10	4.08	4.27	3.97	4.27	4.16	3.99	3.86	3.77	3.66	3.54	3.51	3.64	275	75560	
"Ireland"	5.90	6.36	4.17	6.82	6.15	5.26	6.34	6.11	6.70	8.09	4.01	7.61	5.11	8.51	5.21	6.94	6.83	4.77	6.87	8.27	181	21880	
"Denmark"	0	3.86	3.75	4.14	4.25	4.17	4.55	4.62	5.17	5.23	4.66	5.20	4.63	4.33	4.69	4.16	4.02	5.14	4.20	4.38	128	29224	
"Austria"	3.25	3.44	4.30	3.09	2.59	2.82	3.53	3.69	3.78	3.93	3.45	3.46	3.06	3.68	3.02	3.23	3.34	3.55	3.28	3.36	107	31864	
"Germany"	2.82	3.72	3.83	3.85	3.90	3.77	3.93	4.09	4.31	3.92	3.95	4.01	4.08	4.14	3.72	3.77	3.63	3.96	3.98	3.57	101	28252	
"Russian Federation"	5.01	4.11	5.83	6.33	7.54	4.92	15	5.47		4.77	6.06	8.37	11	5.97	3.48	6.90	5.66	5.32	5.24	3.48	72	20703	
"Italy"						3.44		3.39	7.37	3.24	3.99	3.67	6.50	5.44	4.68	4.29	4.80	4.63	4.57	5.02	66	13155	
"Lithuania"	2.99		3.20	3.19		3.20	3.44	9.39	4.04	3.82	3.31	2.88	4.10	3.67	3.68	3.51	5.77	3.86	3.89	3.70	64	17292	
"Georgia"	3.26	3.82	5.52	3.05	3.72	5.49	1.58	3.18	8.79	6.27		7.94	4.48	6.11	5.82	3.36	4.05	7.32	7.93	5.93	61	10287	
"Hungary"		3.92	4.00	3.70	4.74	4.08	4.21	4.32	5.86	6.36	3.93	4.94		6.49	1.86	5.65		4.83	6.48	3.09	48	15532	
"Bulgaria"	0	3.79	4.29	3.81	3.53	3.42	3.89	8.89		0	7.14	6.32	7.74	4.20	4.19	4.91	3.31	7.83	5.37	5.48	48	8760	
"Israel"	3.68	3.28	3.89	4.84	3.79	3.27	3.66	3.53	3.76	3.62	6.71	3.80	3.27	3.58	3.75	3.77	4.05	4.27	4.55	4.11	47	11448	
"Spain"		3.71	3.15	4.10	3.22	3.64	3.38	3.60	3.57	3.65	3.44	3.66	3.70	5.36	5.07	4.48	4.73	4.70	4.58	4.12	41	9960	
"Romania"	2.43	3.94	4.66	4.56		2.32	5.40	4.43	8	4.06	4.20	4.73	4.07	6.30	4.56	14	6.04	9.22	4.90	4.68	40	8550	
"Iraq"	3.98	4.59	11	3.06		3.30	3.67	3.44	3.88	4.28		4.05	4.05	4.44	5.32	10	9.43	3.95	7.62	4.78	37	7745	
"Ukraine"	3.46	3.07	3.40	4.80	3.21	3.26	2.73	3.01	3.81	3.90	4.44	3.96	5.85	4.55	4.41	3.69	3.92	3.89	3.80	4.02	28	6968	
"Saudi Arabia"				4.01	5.47	5.78	3.45					5.43	3.47	5	4.17	5.41				6.30	27	4284	
"Poland"	2.68	2.61	2.66	2.67	2.71	2.81	2.79	2.86	2.97	2.98	2.91	3.04	3.02	3.09	5.83	2.96	3.00	2.97	5.77	2.97	25	8416	
"Libya, State of"				0		3.01	3.12	2.96	2.81			3.12		4.11		6.45				3.09	20	6480	
"Turkmenistan"	3.55	3.83	4.49	3.27		5.97	15		0	8.21	3.15	29		3.43	5.85	4.37	4.17			9.04	16	1769	
"Portugal"		4.94	4.88				4.83	3.51	4.35	3.59	3.58		3.81	4.60	5.72	3.47	4.57	3.39	3.79	4.02	15	3728	
"Lebanon"	3.50	0	2.34	3.51	3.79		3.40	3.44	3.47	3.45	3.56	4.44		3.46	4.23	5.38	4.49	3.77	4.22	3.83	13	3392	
"Free Zones"	3.28	3.27	2.78	3.09	3.36	3.10	3.45	4.96	6.16	6.30		10		0	10	11	6.39		8.55	11	13	1220	
"New Zealand"	3.73									4.98		5.73								4.87	10	2052	
"Jordan"		3.37		3.26				3.31	3.98			3.74		3.60	8.33	3.37		3.43	2.98	5.54	10	1805	
"Norway"									7.62					0	9.41		10	9.35	3.47	3.42	9	2632	
"Faroe Islands"									7.01		5.26	7.01	7.01			8.93				4.76	8	1680	
"Egypt"			0				4.20				4.12				5.03				5.95	3.70	8	2160	
"Afghanistan"				6.78			6.80													21	7	328	
"Algeria"							5.68			8								59	0	8.51	6	705	
"Greece"	5.47	3.73	4.01	6.67		3.92	6.02	6.35		6.81	3.66	6.91	11	3.92	4.62	4.45	6.25	5.39	4.19	3.66	6	1640	
"Kazakhstan"			4.99	5.00	9.09	6.22	8.22		5.00	4.42	14	17	10	3.12	5.96		4.74	9.63	5.13	13	5	380	
"Estonia"	3.37	3.61		3.29						5.11		4.51	4.21	3.79		3.60		3.83	4.33	3.77	4	1060	
"Serbia"	3.68	3.89	4.69	3.73	2.98	3.83	3.49	4.28	4.14	3.51		4.27	2.85		5.95		7.69		4.16	8.70	3	345	
"Sweden"	4.53	3.74	3.86	3.99	4.02	3.74	4.12	4.33	4.69	4.28	4.18	4.32	4.06		3.48	4.11	3.80	3.67	3.60	5.45	3	550	
"Morocco"						4.63						5.78			3.97					3.85	2	520	
