Importers	2009-M01-Exported unit value, US Dollar/Kilograms	2009-M02-Exported unit value, US Dollar/Kilograms	2009-M03-Exported unit value, US Dollar/Kilograms	2009-M04-Exported unit value, US Dollar/Kilograms	2009-M05-Exported unit value, US Dollar/Kilograms	2009-M06-Exported unit value, US Dollar/Kilograms	2009-M07-Exported unit value, US Dollar/Kilograms	2009-M08-Exported unit value, US Dollar/Kilograms	2009-M09-Exported unit value, US Dollar/Kilograms	2009-M10-Exported unit value, US Dollar/Kilograms	2009-M11-Exported unit value, US Dollar/Kilograms	2009-M12-Exported unit value, US Dollar/Kilograms	2010-M01-Exported unit value, US Dollar/Kilograms	2010-M02-Exported unit value, US Dollar/Kilograms	2010-M03-Exported unit value, US Dollar/Kilograms	2010-M04-Exported unit value, US Dollar/Kilograms	2010-M05-Exported unit value, US Dollar/Kilograms	2010-M06-Exported unit value, US Dollar/Kilograms	2010-M07-Exported unit value, US Dollar/Kilograms	2010-M08-Exported unit value, US Dollar/Kilograms	Exported value in 2010-M08, US Dollar thousand	Exported quantity in 2010-M08, Kilograms	
"World"	5.43	4.98	4.77	4.86	5.59	5.70	5.64	6.04	5.94	6.50	6.15	5.66	5.84	5.27	5.04	4.78	4.91	4.87	5.39	5.23	15150	2896486	
"United Kingdom"	5.25	5.73	5.16	6.31	6.65	6.43	7.14	7.14	5.91	6.56	6.36	6.12	7.26	6.81	6.75	6.39	6.19	5.21	5.54	5.05	3098	613034	
"Iraq"	3.81	4.48	3.97	3.51	3.77	3.70	3.75	4.01	3.82	3.73	3.86	3.62	3.74	3.99	3.83	3.83	4.01	3.56	3.88	3.67	1392	379302	
"Italy"	4.73	4.55	4.55	4.90	6.39	5.65	4.69	5.82	4.76	5.32	11	6.36	5.41	5.74	3.92	4.96	3.63	6.74	9.27	9.02	886	98221	
"Germany"	5.07	5.52	4.86	4.70	5.59	5.53	5.33	5.54	6.19	5.64	5.75	6.55	6.42	5.40	6.36	5.69	4.42	4.71	4.93	5.72	799	139773	
"Iran, Islamic Republic of"	4.65		4.25	4.96	4.42	5.38	2.25	6.79	3.78	4.53	4.71	4.47	4.70	5.40	3.86	4.68	4.99	4.30	4.97	3.99	771	193461	
"Netherlands"	6.63	10	5.36	5.80	11	13	11	12	12	11	9.98	11	9.24	8.39	8.53	8.12	7.59	7.05	8.12	8.73	581	66525	
"France"	5.06	5.35	7.05	7.10	5.54	5.83	7.20	5.33	8.50	7.12	5.56	5.55	7.28	6.00	7.44	5.51	5.51	4.68	5.35	5.45	560	102741	
"Ukraine"	13	3.90	4.02	4.13	6.74	11	4.40	4.50	5.18	7.29	5.16	4.17	4.53	4.88	4.95	4.73	4.81	5.72	4.38	5.71	381	66716	
"Georgia"	9.84	9.22	4.37	3.87	4.13	4.63	5.59	4.98	4.61	7.54	6.07	4.81	4.60	4.77	5.69	3.97	4.18	4.20	4.63	4.09	375	91579	
"Norway"	9.46	5.48	5.49	17	10	12	13	11	11	14	13	9.67	12	9.91	7.87	8.34	7.21	7.91	8.04	6.57	368	55977	
"Slovakia"	5.80	4.90	8	6.49	6.93		6.59	6.38	7.78	7.96	8.11	7.60			8.26	7.78	8.97	6.79	10	8.15	347	42582	
"Russian Federation"	5.82	7.78	4.44	3.37	6.54	11	7.06	5.68	5.39	6.32	8.36	5.83	7.62	5.82	4.67	5.81	3.85	7.31	5.84	7.90	344	43528	
"Sri Lanka"				12								9.53						8.18		7.98	344	43100	
"Israel"	5.57	5.94	5.31	6.05	5.15	7.14	6.69	6.84	6.01	6.86	6.95	7.21	7.11	5.68	6.21	6.95	5.96	5.44	5.35	5.79	335	57873	
"Poland"	3.91	4.39	10	4.29	4.28	4.77	4.95	5.18	5.29	5.61	6.38	5.91	4.85	4.91	5.32	4.40	4.27	4.78	5.30	4.82	321	66642	
