Importers	2012-M03-Exported unit value, US Dollar/Kilograms	2012-M04-Exported unit value, US Dollar/Kilograms	2012-M05-Exported unit value, US Dollar/Kilograms	2012-M06-Exported unit value, US Dollar/Kilograms	2012-M07-Exported unit value, US Dollar/Kilograms	2012-M08-Exported unit value, US Dollar/Kilograms	2012-M09-Exported unit value, US Dollar/Kilograms	2012-M10-Exported unit value, US Dollar/Kilograms	2012-M11-Exported unit value, US Dollar/Kilograms	2012-M12-Exported unit value, US Dollar/Kilograms	2013-M01-Exported unit value, US Dollar/Kilograms	2013-M02-Exported unit value, US Dollar/Kilograms	2013-M03-Exported unit value, US Dollar/Kilograms	2013-M04-Exported unit value, US Dollar/Kilograms	2013-M05-Exported unit value, US Dollar/Kilograms	2013-M06-Exported unit value, US Dollar/Kilograms	2013-M07-Exported unit value, US Dollar/Kilograms	2013-M08-Exported unit value, US Dollar/Kilograms	2013-M09-Exported unit value, US Dollar/Kilograms	2013-M10-Exported unit value, US Dollar/Kilograms	Exported value in 2013-M10, US Dollar thousand	Exported quantity in 2013-M10, Kilograms	
"World"	5.23	5.22	5.39	5.85	5.66	6.18	6.18	6.33	6.22	5.98	5.73	5.54	5.52	5.47	5.38	5.87	6.23	6.40	6.30	5.72	13654	2385189	
"United Kingdom"	8.43	8.35	9.29	7.89	7.63	7.17	6.80	7.27	7.95	6.89	6.30	7.22	7.04	7.37	7.29	9.04	9.32	8.59	7.16	7.78	1898	243901	
"Kazakhstan"	4.66	4.39	3.93	4.04	5.04	4.51	7.28	8.59	5.76	5.10	4.93	5.27	6.99	7.62	4.97	4.44	4.25	8.80	5.05	4.84	944	195193	
"Netherlands"	11	8.80	10	13	8.86	9.42	8.69	9.59	8.71	7.65	9.98	8.44	8.15	7.52	13	8.86	9.21	11	14	13	899	68708	
"Russian Federation"	6.56	8.97	3.54	7.40	6.17	4.02	4.32	4.38	5.83	5.03	12	4.99	7.15	4.83	6.05	5.21	5.41	4.97	6.51	6.12	865	141455	
"Iraq"	3.83	3.36	3.85	5.31	4.36	4.52	4.21	4.39	4.36	4.90	5.00	4.05	5.07	4.69	4.69	6.66	5.19	6.69	4.49	4.28	740	172973	
"Germany"	5.26	4.97	4.88	6.19	5.07	5.37	6.32	6.11	6.71	6.49	6.31	6.18	5.78	6.38	5.93	6.46	6.34	6.71	6.68	5.80	625	107668	
"Saudi Arabia"	7.55	8.51	5.07	6.28	6.59	5.44	5.48	5.92	11	12	8.11	6.09	9.30	5.90	6.03	5.43	6.86	7.22	9.75	5.86	613	104569	
"Ukraine"	4.16	4.19	5.71	3.79	5.37	5.83	6.16	4.27	3.43	3.74	3.58	3.87	4.58	5.10	3.95	5.12	5.13	4.36	4.71	6.14	478	77801	
"Bulgaria"	5.09	5.40	4.66	5.74	4.81	4.75	5.21	5.00	5.10	5.29	5.15	4.86	4.65	5.04	5.38	4.61	4.59	5.23	4.90	5.14	476	92670	
"Uzbekistan"	4.79	11	4.91	6.64	2.55	3.42	5.18	5	4.12	3.92	3.64	4.49	2.11	3.72	5.29	4.42	3.59	3.79	6.06	10	469	46559	
"Norway"	8.49	7.76	8.14	9.51	6.89	8.48	8.76	9.72	8.47	7.94	8.86	8.64	8.21	8.97	7.61	9.49	11	8.66	8.08	7.80	457	58597	
"Belgium"	4.10	5.51	5.07	5.04	4.86	5.23	4.38	7.60	5.09	5.13	6.60	6.90	6.77	6.29	5.16	5.43	5.98	5.12	5.38	5.39	392	72789	
"Romania"	5.29	4.89	4.96	4.42	4.30	4.84	6.81	7.17	5.61	5.57	5.85	6.67	4.91	4.72	4.83	5.52	7.68	5.33	7.14	8.56	360	42042	
"United Arab Emirates"	6.11	8.69	7.58	7.33	5.21	8.76	6.53	6.65	5.87	6.25	5.45	6.48	6.25	6.42	6.94	6.59	6.37	6.81	9.23	6.96	349	50116	
"Azerbaijan"	5.68	5.29	4.48	5.37	6.07	6.47	7.63	5.76	15	13	5.89	5.71	4.96	5.26	4.70	5.47	6.08	6.37	5.37	9.57	344	35935	
"France"	5.75	6.89	6.83	6.09	5.45	5.62	6.73	5.65	5.77	8.02	6.57	5.21	5.99	6.94	6.28	6.32	6.24	6.22	7.24	6.06	246	40607	
"Denmark"	5.08	4.39	5.34	5.02	4.90	6.74	3.87	4.90	4.70	4.37	6.96	4.59	5.28	5.39	4.34	5.30	5.13	4.58	4.74	4.44	237	53405	
"Indonesia"						7.35		0			4.12		5.92	5.35	4.49			5		3.37	233	69190	
"Czech Republic"	5.06	8.23	7.28	7.89	6.75	6.60	9.36	6.72	3.87	10	13	9.51	5.59	7.76	8.02	5.93	8.01	6.50	5.84	7.99	215	26908	
