Importers	2005-M11-Exported unit value, US Dollar/Kilograms	2005-M12-Exported unit value, US Dollar/Kilograms	2006-M01-Exported unit value, US Dollar/Kilograms	2006-M02-Exported unit value, US Dollar/Kilograms	2006-M03-Exported unit value, US Dollar/Kilograms	2006-M04-Exported unit value, US Dollar/Kilograms	2006-M05-Exported unit value, US Dollar/Kilograms	2006-M06-Exported unit value, US Dollar/Kilograms	2006-M07-Exported unit value, US Dollar/Kilograms	2006-M08-Exported unit value, US Dollar/Kilograms	2006-M09-Exported unit value, US Dollar/Kilograms	2006-M10-Exported unit value, US Dollar/Kilograms	2006-M11-Exported unit value, US Dollar/Kilograms	2006-M12-Exported unit value, US Dollar/Kilograms	2007-M01-Exported unit value, US Dollar/Kilograms	2007-M02-Exported unit value, US Dollar/Kilograms	2007-M03-Exported unit value, US Dollar/Kilograms	2007-M04-Exported unit value, US Dollar/Kilograms	2007-M05-Exported unit value, US Dollar/Kilograms	2007-M06-Exported unit value, US Dollar/Kilograms	Exported value in 2007-M06, US Dollar thousand	Exported quantity in 2007-M06, Kilograms	
"World"	4.25	3.67	3.69	3.93	4.13	3.84	3.77	4.02	4.03	4.00	4.23	4.08	4.16	4.22	4.41	4.25	4.12	4.23	4.23	4.29	12050	2809339	
"France"	3.27	2.79	2.84	3.48	3.55	3.26	3.63	3.53	3.51	3.43	3.51	3.45	3.68	3.68	3.54	3.74	3.52	4.07	3.89	3.93	2845	724832	
"United Kingdom"	4.54	4.03	3.98	4.11	4.60	4.10	3.82	4.33	4.68	4.30	4.93	4.36	4.40	4.18	4.62	4.14	4.21	4.14	4.19	4.69	2032	432938	
"Germany"	3.57	3.52	3.50	3.33	3.25	3.37	3.39	3.47	3.47	3.53	3.45	3.60	3.55	3.60	3.98	3.64	3.79	3.87	3.87	4.07	1552	381560	
"Spain"	4.12	4.38	4.15	4.07	4.26	4.36	3.54	3.60	3.90	3.68	4.27	3.93	4.02	4.86	4.75	4.45	4.66	4.09	4.32	3.98	794	199669	
"Iran, Islamic Republic of"		3.57	5.84	3.29	5.52	4.19	4.02	4.28	4.01	3.83	5.44		4.12	4.12	0		4.20		4.62	5.55	587	105688	
"Italy"	5.02	3.98	4.05	4.14	3.98	4.41	3.67	4.01	4.07	3.77	3.77	3.85	3.89	4.27	3.60	3.99	4.12	3.90	4.17	3.95	547	138524	
"Romania"	4.68	7.66	4.27	5.18	5.32	4.54	5.29	4.77	4.78	4.26	3.94	3.94	3.34	3.54	5.41	7.21	3.76	4.03	4.04	4.07	421	103378	
"Belgium"	3.64	3.17	3.07	3.38	3.51	3.35	4.19	3.81	3.80	3.83	4.08	5.18	4.28	4.47	4.56	4.23	4.05	4.55	4.51	4.45	315	70828	
"Denmark"	4.38	3.75		3.90	4.30	4.28	4.07	4.02	3.94	4.36	4.34	4.57	4.13	4.48	4.42	4.97	5.21	4.21	4.56	4.44	307	69119	
"Austria"	3.36	3.23	3.24	3.22	3.22	3.76	3.74	3.52	3.97	3.79	3.84	3.51	3.66	3.84	4.11	4.27	4.21	4.34	4.47	4.36	213	48905	
"Israel"	4.11	4.25	4.83	3.38	4.08	5.19	4.78	3.84	3.60	3.82	4.03	3.65	3.90	4.30	3.83	4.21	4.25	4.60	4.63	4.31	196	45496	
"Portugal"	4.02	3.26	3.24	3.26	3.66	3.54	3.71	4.11	3.99	3.88	3.92	4.31	4.22	4.26	3.87	4.34	4.47	5.06	5.05	4.50	179	39734	
"Netherlands"		5.28		6.11	4.04	2.97	3.24	4.00	3.77	3.64	3.94	3.17	3.53	5.55	6.51	5.42	4.26	3.80	4.21	4.58	178	38898	
"Georgia"	5.93	5.98		14	11	6.31	6.04	4.13	4.57	9.52	10	4.58	7.13	7.76	5.97	7.71	4.44	4.28	4.24	4.44	163	36682	
"Ukraine"	4.02	3.48	3.71	4.06	4.50	4.35	3.88	3.90	4.16	4.49	3.73	4.23	3.97	4.68	4.93	4.63	4.72	5.61	4.48	4.68	150	32054	
"Iraq"	4.78	4.31		4.48	4.82	4.85	6.16	3.69	5.23	3.78	3.85	3.89	5.27	4.58	3.73	4.24	3.77	4.34	4.46	4.49	140	31195	
"Russian Federation"	3.48	3.64	3.45	3.78	4.34	4.00	18	5.23	6.70	7.72	4.29	7.46	4.86	5.23	8.32	4.09	4.59	4.91	4.60	5.19	139	26766	
"Poland"	2.97	2.69	2.80	2.70	2.83	2.66	3.01	3.26	3.08	3.22		3.07	3.23	3.13	3.55	4.39	3.73	3.89	3.99	4.58	103	22466	
"Jordan"	5.54	3.68			3.44	3.74	3.45	3.75	3.39	3.79	3.49		3.40			3.57		3.98	3.53	4.35	87	20008	
"Bulgaria"	5.48	4.12	4.28	4.66	4.55	4.50	3.36	3.36	3.86	4.22	4.68	4.40	4.46	4.47	3.84	4.21	3.06	3.61	3.27	4.62	87	18836	
"Hungary"	3.09	2.91	5.91	5.78	4.39	3.19	5.59	3.61	3.90	4.25	3.58	4.46	3.65	5.77		3.66	3.73	3.81	4.09	4.01	83	20703	
"Switzerland"				4.94	4.59	5.81	3.45	3.25	4.78	5.37	5.19	5.30	3.90	6.29	4.41	5.62	4.73	6.07	4.83	6.21	81	13040	
"Finland"						8.16	3.94	3.86	3.89	4.28	3.86	0	5.95	4.96		4.89	4.59	4.26	4.30	4.17	75	17992	
"Serbia"	8.70	5.21			5.47	5.91								10		3.56	4.81	4.03	3.42	4.53	67	14792	
"Lithuania"	3.70	3.31	3.69	3.92	3.57	3.75	3.41	3.71	4.50	4.52	4.63	3.49	3.97	4.13	3.96	4.06	4.77	4.15	4.18	4.21	66	15682	
"Sweden"	5.45	3.75	4.18			3.76	4.05	3.89	3.84	3.64	3.91	3.71	3.90	4.34	4.34	4.15	4.21	4.38	4.21	4.26	65	15242	
"Croatia"					6.94	3.27	3.34	4.81	3.19	3.27	3.27	3.43	3.31	5.58	10	3.42		6.25	3.86	3.80	59	15546	
"Kuwait"	12	4.57		9.79	4.58	4.35	4.53						4.58		4.71		4		4.64	3.97	55	13865	
"Greece"	3.66	5.86	5.27	5.42	5.79	5.79	4.05	5.26	4.66	5.65	3.64	3.80	5.27	5.38	5.88	5.51	5.68	8.22	5.17	5.30	52	9816	
"Macedonia, The Former Yugoslav Republic of"				5.21			7.84				2.99			8.51			3.80	3.47		3.75	44	11742	
"Ireland"	8.27	4.65	2.55	6.80	6.11	7.24	6.55	3.93	5.21	4.10	6.56	4.47	4.41	6.48	3.14	3.71	3.86	3.68	3.99	4.43	42	9473	
"Cyprus"	4.17	6.12	4.24	4.61	7.72	9.12	5.04	6.63	5.62	15	6.08	12	5.19	7.46	13	9.07	7.32	7.77	8.88	6.64	37	5572	
"Libya, State of"	3.09				0			1.45	2.93		3.87				3.64		3.70			4.83	32	6632	
"Côte d'Ivoire"		3.90							4.76			3.42		3.42			5.02	4.41		3.71	25	6733	
"Syrian Arab Republic"											5.75								5.09	3.52	25	7101	
"Senegal"				3.95		3.27	4.46	4.17		3.61	4.57	5.15		3.63	4.07	4.17	3.62	4.46	4.76	3.71	25	6733	
"Czech Republic"					4.71		3.47	3.14	3.72	3.51	3.59	3.21	3.51	4.09	4.16	7.07	3.99	4.20	3.89	3.82	22	5766	
"Algeria"	8.51	6.13					6.19					6.26	5.64							9.26	20	2160	
"Kazakhstan"	13		6.03	4.27	3.51	3.88	4.13	4.08	4.17	3.80	5.36	5.24	4.97	10		4.09	6.86	3.89	3.92	8.65	15	1734	
"Belarus"																				8.39	14	1669	
"United Arab Emirates"				3.70	4.05	8.13			7.23	4.53	2.85			6.11		4.71	5.38	4.80	4.92	4.73	14	2957	
"South Africa"					4.81						5.45								6.79	7.13	13	1824	
"Azerbaijan"	5.06	6.69	7.41	4.60	11	8.73	3.98	3.69	9.93	8.51	6.09	7.42	5.19	5.63	3.57	4.92	4.49		5.60	4.58	13	2836	
"Bahrain"								6.41								11				5.53	11	1990	
"Slovakia"							2.72		3.17		3.71	3.06	3.61	3.83	3.74	3.87			4.21	11	9	795	
"Slovenia"	3.57	4.03	4.87			3.57		2.69	3.63	5.36	3.56	3.67	3.90	4.67	3.95		4.37		6.45	4.75	8	1685	
"Australia"		4.55	4.50		4.36	5.56	4.94	4.48		4.59	4.81	3.76	5.17	5.17		4.94		4.83	4.51	5.46	7	1282	
"Iceland"							31							16						6.12	7	1144	
"Egypt"	3.70		0	0				6.41		3.70				3.70		5.34		5.56		4.33	6	1386	
"Free Zones"	11	0		6.80			0	20	29	5.73	14	14	10	11	25		22	10	5.05	11	4	363	
"Malta"	5.10		5.67	5.36	4.44			4.12	4.95		4.67	6.61	3.82	5.79		4.63	7.14		13	5.16	4	775	
"Moldova, Republic of"		6.10			7.14	5.10	15	9.62	3.59	5.95	4.81	5.86	11	8.28					5.65	7.43	3	404	
"Afghanistan"	21	13			14			17			9.09		32						11	3.87	3	775	
"Djibouti"																				5.26	3	570	
