Importers	2005-M11-Exported unit value, US Dollar/Kilograms	2005-M12-Exported unit value, US Dollar/Kilograms	2006-M01-Exported unit value, US Dollar/Kilograms	2006-M02-Exported unit value, US Dollar/Kilograms	2006-M03-Exported unit value, US Dollar/Kilograms	2006-M04-Exported unit value, US Dollar/Kilograms	2006-M05-Exported unit value, US Dollar/Kilograms	2006-M06-Exported unit value, US Dollar/Kilograms	2006-M07-Exported unit value, US Dollar/Kilograms	2006-M08-Exported unit value, US Dollar/Kilograms	2006-M09-Exported unit value, US Dollar/Kilograms	2006-M10-Exported unit value, US Dollar/Kilograms	2006-M11-Exported unit value, US Dollar/Kilograms	2006-M12-Exported unit value, US Dollar/Kilograms	2007-M01-Exported unit value, US Dollar/Kilograms	2007-M02-Exported unit value, US Dollar/Kilograms	2007-M03-Exported unit value, US Dollar/Kilograms	2007-M04-Exported unit value, US Dollar/Kilograms	2007-M05-Exported unit value, US Dollar/Kilograms	2007-M06-Exported unit value, US Dollar/Kilograms	Exported value in 2007-M06, US Dollar thousand	Exported quantity in 2007-M06, Kilograms	
"World"	5.05	4.91	4.89	4.60	4.40	4.42	4.62	4.87	5.18	5.78	6.08	5.74	5.56	5.03	4.88	4.83	4.96	5.42	5.50	5.74	12729	2218842	
"United Kingdom"	5.40	4.93	5.22	5.43	6.07	9.03	6.61	6.16	7.75	5.59	6.75	5.46	7.01	6.51	6.00	7.13	6.93	7.54	7.53	7.39	3252	440258	
"Romania"	3.72	3.71	3.93	3.92	4.06	4.10	4.36	4.55	4.57	4.35	6.25	8.64	5.07	5.03	4.36	4.65	4.53	4.68	4.68	4.68	1430	305358	
"Germany"	4.84	4.49	3.87	4.77	4.84	5.10	5.38	5.41	5.25	5.12	8.03	4.19	4.95	5.40	6.57	5.99	5.75	5.80	6.60	5.23	1105	211350	
"Ukraine"	4.53	4.39	4.06	3.08	3.34	3.76	2.94	3.06	4.02	5.80	4.84	5.65	3.20	3.66	3.69	3.13	3.74	4.17	3.17	5.02	883	175746	
"Bulgaria"	4.52	3.49	13	4.60	3.99	4.07	4.49	4.61	4.26	5.06	8.72	7.77	5.48	4.73	3.44	4.30	4.35	4.28	4.03	4.02	830	206712	
"Serbia"	3.89	3.06		4.04	3.94	3.81	4.65	4.31	3.81		10	3.02	3.59	12	4.25	4.77	4.46	4.92	4.99	6.11	554	90689	
"Italy"	4.41	3.74	4.58	5.42	5.05	4.27	4.28	4.01	4.22	4.36	4.29	3.99	5.20	6.38	5.40	4.57	4.80	4.65	4.35	5.10	404	79264	
"Russian Federation"	5.84	5.10	6.16	5.62	4.37	3.60	5.52	6.05	4.64	5.69	5.77	5.31	6.08	4.75	6.32	4.06	4.14	9.75	7.71	5.93	386	65116	
"France"	3.53	4.08	7.34	3.72	4.34	4.01	4.39	4.02	3.95	4.51	3.28	5.93	4.74	5.60	6.40	4.84	5.80	4.61	4.65	5.30	360	67978	
"Austria"	8.47	5.90	5.39	5.43	5.84	7.62	6.31	6.91	6.33	6.51	6.39	6.80	5.86	6.26	6.33	5.84	6.85	6.52	7.11	5.76	349	60612	
"United States of America"	6.39	5.55	6.02	6.19	6.44	5.53	5.33	5.48	6.27	6.33	5.33	6.07	8.44	5.22	5.51	6.21	7.71	7.40	11	9.07	324	35721	
"Greece"	4.64	6.77	6.49	4.45	5.65	6.46	5.78	5.93	6.95	7.16	6.53	6.90	6.55	5.75	5.44	8.25	5.76	5.99	6.56	5.77	288	49942	
