Importers	2010-M08-Exported unit value, US Dollar/Kilograms	2010-M09-Exported unit value, US Dollar/Kilograms	2010-M10-Exported unit value, US Dollar/Kilograms	2010-M11-Exported unit value, US Dollar/Kilograms	2010-M12-Exported unit value, US Dollar/Kilograms	2011-M01-Exported unit value, US Dollar/Kilograms	2011-M02-Exported unit value, US Dollar/Kilograms	2011-M03-Exported unit value, US Dollar/Kilograms	2011-M04-Exported unit value, US Dollar/Kilograms	2011-M05-Exported unit value, US Dollar/Kilograms	2011-M06-Exported unit value, US Dollar/Kilograms	2011-M07-Exported unit value, US Dollar/Kilograms	2011-M08-Exported unit value, US Dollar/Kilograms	2011-M09-Exported unit value, US Dollar/Kilograms	2011-M10-Exported unit value, US Dollar/Kilograms	2011-M11-Exported unit value, US Dollar/Kilograms	2011-M12-Exported unit value, US Dollar/Kilograms	2012-M01-Exported unit value, US Dollar/Kilograms	2012-M02-Exported unit value, US Dollar/Kilograms	2012-M03-Exported unit value, US Dollar/Kilograms	Exported value in 2012-M03, US Dollar thousand	Exported quantity in 2012-M03, Kilograms	
"World"	4.08	4.22	4.17	4.15	4.05	4.05	3.95	4.15	4.36	4.28	4.36	4.36	4.07	3.97	3.89	3.85	3.85	4.01	3.95	4.01	12969	3232828	
"France"	3.65	3.80	4.01	3.78	3.78	3.58	3.57	3.65	4.01	3.83	3.72	3.66	3.43	3.55	3.51	3.80	3.49	3.56	3.56	3.62	2788	769982	
"United Kingdom"	4.06	4.49	4.18	4.25	3.89	4.40	4.23	4.51	4.54	4.34	4.48	4.61	4.30	3.76	3.96	3.59	3.63	4.18	4.14	4.28	2312	540693	
"Iran, Islamic Republic of"	4.62	4.37	5.01	4.77	4.89	4.96	5.15	5.17	5.60	4.99	5.59	5.90	5.29	4.92	4.85	4.77	5.03	4.63	4.41	4.74	965	203516	
"Italy"	3.97	3.83	3.88	4.02	3.85	3.92	3.61	3.68	3.80	3.94	3.69	4.11	3.77	3.60	3.62	3.52	3.53	3.71	3.75	3.58	745	207937	
"Israel"	3.83	4.06	4.13	4.32	3.89	3.94	3.57	3.97	4.43	4.23	4.87	4.00	3.89	4.09	3.79	4.10	4.03	4.46	3.99	3.67	670	182433	
"Sweden"	4.26	4.28	4.45	4.58	4.34	4.37	4.44	4.62	4.75	4.77	4.63	4.68	4.71	4.53	4.48	4.41	4.42	4.22	4.35	4.25	618	145561	
"Spain"	3.96	4.10	4.10	4.18	4.16	3.83	3.94	4.27	4.37	4.30	4.04	4.34	4.00	4.40	4.12	4.21	3.72	3.80	4.12	3.87	579	149473	
"Belgium"	3.63	4.28	4.07	3.92	4.47	4.38	3.99	4.50	4.89	4.30	4.29	4.97	4.68	3.93	3.96	4.14	4.45	3.91	4.09	4.34	321	74007	
"Denmark"	4.05	3.96	4.09	4.55	4.45	4.72	4.66	5.17	5.04	5.03	5.00	4.97	4.85	4.32	4.40	4.33	4.44	4.58	4.69	4.66	263	56480	
"Germany"	5.25	4.63	3.98	3.83	3.99	3.94	4.25	4.23	4.17	4.58	4.77	4.29	4.27	3.98	3.77	4.17	3.89	3.70	3.98	3.70	240	64948	
"Ukraine"	3.97	3.96	4.35	3.87	4.09		4.10	4.22	4.59	4.32	4.45	4.44	4.53	4.33	4.49	4.37	5.47	4.25	4.07	4.29	213	49644	
"Austria"	3.85	4.40	4.36	4.61	4.52	4.03	3.39	3.75	4.08	4.25	4.03	4.04	4.01	3.88	4.02	3.93	3.77	4.37	4.26	4.41	212	48115	
"Finland"	4.19	4.13	4.13	4.18	4.37	4.49	4.39	0	4.91	4.69	4.97	5.15	5.74	4.18	5.03	5.07	4.56	4.61	4.54	4.53	179	39472	
"Czech Republic"	3.57	3.82	3.59	4.58	3.51	3.49	3.71	4.03	4.14	4.75	4.37	4.29	3.94	3.03	2.99	3.11	4.09	3.13	3.34	3.21	178	55509	
"Poland"	3.56	3.52	3.59	3.71	3.54	3.34	3.23	3.50	3.55	3.41	3.21	3.22	2.98	3.07	2.97	2.94	2.81	3.16	3.41	3.43	168	48948	
"Romania"	5.43	4.53	3.91	3.74	3.83	3.86	3.96	3.79	4.24	5.32	4.54	4.63	3.97	3.63	2.89	3.34	3.31	4.17	3.64	3.97	162	40853	
"Australia"	6.62	5.49	5.59		6.50	5.17	5.88	6.51	5.66	5.48	5.63	6.31	7.12	5.51	4.03	5.62	6.75	6.53	6.39	5.01	143	28571	
"Kuwait"		6	5.03			3.76	3.99	5.74	5.08	4.56	4.73	3.69	3.43		4.63	3.24	4.50	4.25	4.38	4.30	143	33260	
"Russian Federation"	5.62	5.07	4.74	4.90	5.02	3.85	8.20	5.63	5.93	5.31	5.86	5.89	5.14	5.73	3.97	3.55	5.19	4.64	3.60	5.61	132	23540	
"Portugal"	4.34	3.80	4.36	4.42	4.23	4.32	3.86	4.38	4.24	3.91	4.25	4.60	4.75	4.40	3.39	3.97	3.97	3.83	3.93	3.89	126	32351	
"Bulgaria"	3.99	3.27	3.65	3.52	3.41	3.27	4.07	3.72	3.84	4.21	3.84	3.61	3.32	3.39	3.39	3.10	3.19	3.36	3.33	3.45	118	34180	
"Hungary"	3.29	3.67	3.62	3.58	3.55	3.05	3.48	3.46	4.05	3.34	3.10	3.50	3.26	2.81	2.73	2.89	2.72	3.51	3.27	3.58	95	26502	
"Serbia"	2.87	3.07	3.52	3.23	3.45	2.91	3.04	3.26	3.32	3.26	3.28	3.34	3.34	3.14	3.08	3.15	3.86	3.62	3.03	4.03	92	22809	
"Libya, State of"	4.19	9.42	3.86		4.11		4.62					11				8.47	5.07	1.92	4.62	4.30	87	20233	
"Morocco"	6.82	4.17	3.10				3.76	4.39		4.64	4.16		5.13	3.76	7.04	4.50	2.78		4.26	3.96	87	21996	
"Netherlands"	3.38	3.64	3.44	3.10	3.33	3.32	3.08	2.91	4.95	3.45	3.56	2.96	3.21	2.81	3.26	2.75	3.49	4.39	3.61	3.67	86	23416	
"Iraq"	5.38	4.72	4.64	0	3.87	3.56	3.57	3.25	3.19	3.59	3.87	3.54	3.67	4.10	4.23	3.68	3.43	3.51	3.73	3.47	86	24805	
"Lithuania"	4.69	5.46	5.26	5.45	5.67	8.20	6.56	5.33	4.91	4.93	5.01	4.99	5.68	4.94	5.00	4.97	4.61	4.19	4.50	4.36	78	17873	
"Saudi Arabia"			5.76		9.13	5.38			5.32		5.34	7.46	4.39		6.61		4.43		5.27	4.92	78	15858	
"Azerbaijan"	3.66	5.19	7.95	5.71	8.75	5.81	6.04	15	4.83	5.96	5.11	9.12	5.43	7.90	4.64	3.74	5.54	4.88	10	6.33	72	11373	
"Senegal"	3.50	3.13	3.23	3.40	3.61	3.15	3.61	3.76	3.33	5.65	4.01	3.34	3.49	4.08	3.39	3.03	3.03	3.56	3.70	3.47	71	20485	
"Ireland"	4.46	4.51	3.98	4.25	3.89	3.74	4.74	4.72	4.02	4.01	3.77	4.69	3.94	3.76	4.14	3.90	3.47	4.33	3.98	3.97	68	17141	
"Jordan"	4.37	4.49	4.63	5.25	4.27	4.07	4.31	4.64	4.47	5.00	4.60	4.50	4.57	3.91	4.85	4.33	4.47	4.43	4.47	4.30	67	15593	
"Lebanon"		5.73	4.87	4.52	4.31	4.51	6.36	5.24	5.85	5.21	4.28	7.23	5.14	3.23	4.09	3.50	4.86	5.54		5.10	59	11576	
"Croatia"	3.24	3.57	3.79	3.35	3.38	3.75	2.96	4.07		4.81	4.03	3.65	3.94	3.89	3.30	3.45	3.57	3.03	3.57	3.30	57	17262	
"Kyrgyzstan"	4.14		3.03						16					4.35	3.87		3.80	5.71		22	53	2400	
"Egypt"	4.09	4.33	5.04		4.49	4.49			50	9.87	5.71	5.07	4.28	4.34	4.56	4.44	4.85	4.14	5.57	4.44	52	11706	
"Tunisia"		5.32			5.38			3.47			3.37	8.45	3.21		3.42	3.00	3.02			3.69	52	14088	
"Greece"	8.94	5.56	5.27	5.40	6.21	4.26	5.86	3.99	4.19	4.36	4.57	4.91	4.17	4.68	3.95	3.80	3.68	4.88	5.11	4.04	43	10643	
"Norway"	3.53	3.59	3.69	3.69	3.77	3.21	3.50	4.08	3.48	4.86	3.66	3.85	4.09	4.04	4.17	3.76	5.35		3.62	3.21	39	12150	
"Luxembourg"																				4.17	38	9120	
"Oman"		22	9.09				3.76	4.07	4.00		0		4.54							4.41	36	8160	
"Georgia"	11	6.22	6.85	5.47	6.39	10	7.32	3.90	4.44	5.14	4.75	4.67	7.56	13	12	5.08	3.71	3.70	9.45	3.21	32	9970	
"Turkmenistan"	3.82	4.69	8.70	6.19	4.04	4.10	6.69	4.19	5.41	4.68	4.33	5.34	7.01	6.36	7.37	5.54	5.34	7.52	4.40	4.01	32	7990	
"Cyprus"	4.36	5.36	6.61	7.71	5.41	10	9.11	10	6.84	7.97	4.80	5.39	7.19	5.26	14	13	5.19	88	6.61	4.72	26	5508	
"Slovakia"	3.51	3.75	3.88		4.33	4	3.70		4.46	4.49	4.05	4.80	3.65	3.64	3.15	3.28	2.92	3.23	3.11	3.31	25	7544	
"Algeria"		8.08	18	5.52		4.01	4.13	3.62	5.81	4.51	8.09	20	0			3.27		17	8.88	5.79	20	3456	
"Switzerland"	3.65	6.34	5.07	5.86		4.24	4.42	5.95	5.57	5.03	4.48	4.91	5.04	6.05	4.16	4.42	5.00	4.84	3.81	5.50	18	3275	
"United Arab Emirates"	5.24	5.28	5.60	4.66	5.01	4.81	5.81	4.62	4.21	4.69	5.10	5.09	3.72	5.08	4.70	3.67	4.56	5.31	4.74	4.68	17	3633	
"Benin"			4.49		3.06			3.12	4.55							3.12	3.30	4.42		4.38	16	3657	
"Malta"		4.62	4.98	6.84	5.21	4.66	5.65		5.63	5.40	3.90	7.58	5.34	4.92	7.34	5.28	3.54	4.26	4.75	5.59	15	2681	
"Kazakhstan"	7.65	12	6.62	4.74	4.57		4.55	4.51	9.25	3.53	5.71	6.55		5.71	9.14	8.90	3.77	7.07	19	8.12	14	1724	
"Estonia"	4.18								6.06			3.31	4.91	5.87			4.17	4.98	0	4.19	13	3100	
"Pakistan"		3.97					4.81													3.75	11	2932	
"Slovenia"	4.44	4.84	4.46	4.58	4.82	4.18	4.01	4.88		5.21	4.55	5.08	4.72	4.41	4.64	4.71	5.03	3.95	4.69	3.91	9	2300	
"Venezuela, Bolivarian Republic of"																				12	9	756	
"Malaysia"																18				5.65	8	1415	
"Nigeria"		4.76	25	3.62	4.68	3.79		4.17	3.61	3.82	4.38			4.11		2.60	4.40			4.57	5	1094	
"Guinea"		3.73				4.49					4.78						3.74			4.03	5	1240	
