Importers	2010-M08-Exported unit value, US Dollar/Kilograms	2010-M09-Exported unit value, US Dollar/Kilograms	2010-M10-Exported unit value, US Dollar/Kilograms	2010-M11-Exported unit value, US Dollar/Kilograms	2010-M12-Exported unit value, US Dollar/Kilograms	2011-M01-Exported unit value, US Dollar/Kilograms	2011-M02-Exported unit value, US Dollar/Kilograms	2011-M03-Exported unit value, US Dollar/Kilograms	2011-M04-Exported unit value, US Dollar/Kilograms	2011-M05-Exported unit value, US Dollar/Kilograms	2011-M06-Exported unit value, US Dollar/Kilograms	2011-M07-Exported unit value, US Dollar/Kilograms	2011-M08-Exported unit value, US Dollar/Kilograms	2011-M09-Exported unit value, US Dollar/Kilograms	2011-M10-Exported unit value, US Dollar/Kilograms	2011-M11-Exported unit value, US Dollar/Kilograms	2011-M12-Exported unit value, US Dollar/Kilograms	2012-M01-Exported unit value, US Dollar/Kilograms	2012-M02-Exported unit value, US Dollar/Kilograms	2012-M03-Exported unit value, US Dollar/Kilograms	Exported value in 2012-M03, US Dollar thousand	Exported quantity in 2012-M03, Kilograms	
"World"	3.83	3.80	4.42	4.40	4.45	4.92	4.98	4.70	5.02	4.87	4.55	4.92	4.69	4.41	4.27	4.35	4.30	4.49	4.44	4.42	75281	17047576	
"United Kingdom"	3.46	3.39	3.56	3.53	3.47	3.66	3.67	3.63	3.78	3.71	4.05	3.83	3.78	3.54	3.56	3.50	3.42	3.47	3.53	3.50	13462	3850510	
"Germany"	4.07	4.78	4.69	4.81	5.08	5.89	6.13	5.76	6.15	6.12	6.02	5.67	5.88	5.45	5.50	5.71	5.50	5.44	5.87	6.23	10809	1735690	
"France"	3.64	3.81	3.98	4.03	3.99	4.28	4.28	4.43	4.70	4.74	4.50	4.46	4.08	3.82	3.84	3.97	3.88	3.91	4.00	4.03	10780	2675528	
"United States of America"	7.10	8.44	11	12	11	11	10	11	13	11	9.83	9.79	10	9.56	9.32	9.56	9.86	12	13	13	4840	370562	
"Italy"	3.06	3.14	4.29	3.90	4.13	3.74	4.27	4.16	4.33	4.16	4.03	3.62	3.91	3.46	3.42	3.59	3.50	4.18	3.95	3.81	4059	1065010	
"Iraq"	3.81	3.75	3.76	3.77	3.90	3.89	3.99	4.08	3.88	4.08	3.80	3.84	3.79	3.90	3.60	3.83	3.89	4.40	3.74	3.80	3861	1017110	
"Sweden"	4.03	4.03	4.05	4.11	3.93	4.49	4.47	4.30	4.86	4.15	4.14	4.02	4.12	3.94	3.80	3.92	3.59	4.42	4.41	4.46	3475	778570	
"Israel"	4.33	3.20	5.36	4.69	5.01	4.47	4.25	5.25	4.44	6.25	6.04	6.40	5.76	6.21	4.86	5.48	4.45	4.40	5.62	5.13	2958	576254	
"Spain"	4.79	4.23	5.02	5.06	4.75	4.51	4.99	5.15	5.36	5.65	5.00	5.22	4.23	3.59	3.85	3.74	3.94	4.50	4.04	3.99	2856	715043	
"Poland"	3.52	3.82	3.85	4.02	4.03	4.82	4.82	4.67	4.73	4.62	4.46	4.27	4.52	4.31	4.18	4.69	4.34	4.02	4.21	4.04	2384	589996	
"Iran, Islamic Republic of"	4.70	4.80	4.37	5.47	5.57	5.01	5.44	4.91	4.96	5.62	4.89	5.64	5.21	5.14	5.24	4.86	5.30	4.71	5.29	5.09	1554	305285	
"Libya, State of"	3.15	2.90	4.56	4.00	8.90	2.86	3.60									7.26	3.39	3.73	3.51	3.58	1508	421209	
"Netherlands"	8.78	8.95	4.45	4.58	4.49	4.35	5.17	4.51	5.05	5.69	4.80	4.55	4.06	3.97	4.13	4.07	3.94	4.05	4.23	4.16	1293	310711	
"Australia"					12	4.67	5.11	5.46	4.53	5.13	6.62	5.86	7.39	7.56	6.28	5.02	5.15	5.42	4.30	4.92	1127	228987	
"Azerbaijan"	5.10	4.47	5.55	6.59	6.22	5.38	5.65	6.24	5.88	5.07	5.47	5.62	6.22	5.86	6.36	6.04	5.72	5.99	6.23	5.82	629	108053	
"China"	5.25	4.73	8.03	4.71	5.12	4.27	5.94	3.28	3.28	4.87	4.08	4.08	3.87	3.07	3.11	3.46	3.13	2.71	4.23	4.21	603	143197	
"Georgia"	3.60	3.67	4.87	4.42	4.62	4.56	4.69	4.23	4.50	4.37	4.48	4.34	4.93	5.58	5.44	5.90	5.19	4.17	4.15	4.24	593	139718	
"Romania"	4.12	4.16	4.27	4.21	4.05	4.53	3.85	4.36	5.34	4.58	4.70	4.74	4.34	4.07	4.02	4.30	3.92	4.72	4.21	4.00	587	146678	
"Finland"	3.24	3.48	3.67	3.47	3.20	3.68	3.43	3.77	4.48	4.32	3.99	3.96	3.83	3.68	3.58	3.36	3.37	3.60	3.46	3.57	559	156682	
"Portugal"	4.38	4.49	5.29	5.25	5.87	4.75	4.41	4.78	5.37	5.62	4.27	4.90	4.31	3.73	3.44	3.67	3.21	3.54	3.58	3.78	497	131341	
"Greece"	4.43	3.93	4.49	5.07	4.43	4.61	4.57	4.70	5.59	5.14	5.27	5.11	5.40	4.58	4.34	4.42	4.36	4.96	4.65	4.35	471	108329	
"Canada"	8.62	9.10	14	15	12	14	14	15	15	12	14	15	14	14	13	13	14	13	12	14	460	33439	
"Denmark"	4.74	4.33	4.62	4.16	3.96	4.60	5.03	4.64	5.08	4.36	4.36	4.03	4.86	4.05	3.73	4.09	4.13	5.47	4.17	4.59	423	92181	
"Yemen"	3.64	3.75	4.32	3.84	4.75		3.40	4.35					4.12		5.38	3.59	3.81	3.77	3.69	3.45	418	121302	
"Lebanon"	3.53	4.15	4.02	4.71	4.12	3.85	5.18	5.73	6.02	5.71	6.47		4.22	5.63	3.90	4.54	4.93	6.67	7.73	4.26	387	90781	
"Hungary"			3.43	3.47	3.38	3.85	4.13	3.35	3.40	3.49	3.04	3.26	3.33	3.35	3.32	3.22	3.28	3.82	3.70	3.69	297	80460	
"Russian Federation"	4.08	5.29	0	4.96		3.95	6.01	4.26	3.48	5.17	2.93	3.29	4.90	4.04	4.34	5.89	4.21	4.02	3.80	4.14	294	70973	
"Czech Republic"	3.18	3.45	4.01	4.33	3.21	3.48	3.46	3.55	4.06	4.93	3.89	4.30	4.42	4.07	4.09	3.97	3.81	3.97	3.68	3.75	287	76454	
