Importers	2016-M12-Exported unit value, US Dollar/Kilograms	2017-M01-Exported unit value, US Dollar/Kilograms	2017-M02-Exported unit value, US Dollar/Kilograms	2017-M03-Exported unit value, US Dollar/Kilograms	2017-M04-Exported unit value, US Dollar/Kilograms	2017-M05-Exported unit value, US Dollar/Kilograms	2017-M06-Exported unit value, US Dollar/Kilograms	2017-M07-Exported unit value, US Dollar/Kilograms	2017-M08-Exported unit value, US Dollar/Kilograms	2017-M09-Exported unit value, US Dollar/Kilograms	2017-M10-Exported unit value, US Dollar/Kilograms	2017-M11-Exported unit value, US Dollar/Kilograms	2017-M12-Exported unit value, US Dollar/Kilograms	2018-M01-Exported unit value, US Dollar/Kilograms	2018-M02-Exported unit value, US Dollar/Kilograms	2018-M03-Exported unit value, US Dollar/Kilograms	2018-M04-Exported unit value, US Dollar/Kilograms	2018-M05-Exported unit value, US Dollar/Kilograms	2018-M06-Exported unit value, US Dollar/Kilograms	2018-M07-Exported unit value, US Dollar/Kilograms	Exported value in 2018-M07, US Dollar thousand	Exported quantity in 2018-M07, Kilograms	
"World"	3.60	3.72	3.62	3.71	3.69	3.70	3.84	3.83	3.93	4.20	3.97	4.52	4.56	4.38	3.91	4.43	4.41	4.12	4.15	4.23	17021	4024594	
"United States of America"	7.48	8.08	8.24	8.56	7.83	8.03	11	9.94	10	13	12	12	12	11	11	11	11	12	11	11	3404	304900	
"United Kingdom"	2.90	3.30	3.01	2.99	3.39	3.2	3.26	3.54	3.42	3.40	3.31	3.40	3.45	3.74	3.66	3.55	3.20	3.39	3.47	3.45	2518	729681	
"Germany"	3.54	4.35	3.83	4.51	4.76	4.29	4.11	3.73	4.74	4.78	4.45	5.48	4.65	4.49	3.30	5.22	5.10	5.22	5.05	4.26	1805	423214	
"France"	3.03	2.98	2.87	3.00	2.97	3.09	3.10	3.33	3.32	3.36	3.31	3.23	3.44	3.58	3.52	3.55	3.48	3.21	3.18	3.23	1733	536687	
"Israel"	3.21	3.70	3.37	3.19	3.45	3.35	3.50	3.52	3.49	3.84	3.89	3.52	3.59	3.47	3.56	3.74	3.52	3.66	3.46	3.54	774	218831	
"Ukraine"	3.03	2.86	3.24	3.11	2.83	3.06	3.02	3.01	3.13	3.21	3.37	3.34	3.29	3.42	3.48	3.54	3.51	3.23	3.37	3.34	650	194783	
"Egypt"	4.30	4.19	3.11	3.71	4.73		3.29		3.93	3.82	3.65	3.59	3.39	2.83	3.72	3.58	3.85	3.78	3.48	3.63	619	170298	
"Sweden"	3.62	3.29	3.40	3.33	3.46	3.54	3.58	3.75	3.85	3.93	3.85	3.79	3.96	3.99	4.08	3.93	3.91	3.73	3.43	3.33	528	158549	
"Belgium"	3.72	3.22	3.42	3.50	3.63	3.69	3.47	3.43	3.93	4.13	3.88	4.08	4.15	3.82	3.73	4.09	4.32	3.91	3.85	3.76	481	127923	
"Spain"	3.12	3.10	3.26	3.15	3.18	3.27	3.46	3.42	3.64	3.58	3.59	3.52	3.51	3.60	3.72	4.05	3.91	3.61	3.72	3.94	425	107922	
"Italy"	3.05	3.02	2.95	3.03	2.96	3.11	3.18	3.17	3.23	3.35	3.30	3.37	3.34	3.42	3.36	3.31	3.61	3.38	3.26	3.28	406	123798	
"Netherlands"	3.33	3.18	3.51	3.61	3.46	4.13	3.36	3.63	3.40	3.75	3.53	3.53	3.61	3.88	3.54	3.77	3.81	3.69	3.52	3.55	336	94614	
"Iraq"	3.12	3.24	3.18	3.26	3.16	3.27	3.27	3.36	3.48	3.84	3.43	3.43	3.31	2.95	3.03	3.23	3.16	3.41	2.90	3.15	282	89654	
"Switzerland"	4.06	3.60	3.75	3.78	3.87	3.86	3.48	3.70	3.84	4.23	3.52	3.88	3.75	4.60	4.22	4.69	4.18	3.81	3.80	4.21	261	61937	
"Slovenia"	3.36	3.53	3.67	3.85	3.48	3.83	3.62	3.65	3.72	4.05	4.02	3.64	3.92	4.19	4.05	4.72	4.24	3.79	3.97	3.64	236	64895	
"Georgia"	6.61	4.31	4.91	5.50	5.82	5.30	5.81	5.57	5.42	6.40	6.98	6.22	6.34	4.87	5.44	4.63	5.43	3.97	4.41	4.40	195	44271	
