Importers	2007-M06-Exported unit value, US Dollar/Kilograms	2007-M07-Exported unit value, US Dollar/Kilograms	2007-M08-Exported unit value, US Dollar/Kilograms	2007-M09-Exported unit value, US Dollar/Kilograms	2007-M10-Exported unit value, US Dollar/Kilograms	2007-M11-Exported unit value, US Dollar/Kilograms	2007-M12-Exported unit value, US Dollar/Kilograms	2008-M01-Exported unit value, US Dollar/Kilograms	2008-M02-Exported unit value, US Dollar/Kilograms	2008-M03-Exported unit value, US Dollar/Kilograms	2008-M04-Exported unit value, US Dollar/Kilograms	2008-M05-Exported unit value, US Dollar/Kilograms	2008-M06-Exported unit value, US Dollar/Kilograms	2008-M07-Exported unit value, US Dollar/Kilograms	2008-M08-Exported unit value, US Dollar/Kilograms	2008-M09-Exported unit value, US Dollar/Kilograms	2008-M10-Exported unit value, US Dollar/Kilograms	2008-M11-Exported unit value, US Dollar/Kilograms	2008-M12-Exported unit value, US Dollar/Kilograms	2009-M01-Exported unit value, US Dollar/Kilograms	Exported value in 2009-M01, US Dollar thousand	Exported quantity in 2009-M01, Kilograms	
"World"	5.74	6.04	5.94	6.36	6.77	7.80	5.27	5.73	6.02	6.32	5.96	6.13	6.14	6.14	7.29	6.83	5.75	5.93	5.63	5.43	6918	1273690	
"France"	5.30	4.99	8.61	7.11	6.38	8.46	5.66	7.47	6.67	5.57	5.78	5.93	5.62	6.17	6.63	6.19	5.03	4.69	4.66	5.06	797	157475	
"United Kingdom"	7.39	6.68	7.25	6.81	6.93	7.60	6.64	6.77	6.89	6.82	6.78	6.87	6.48	6.47	6.87	6.24	5.34	4.91	5.08	5.25	654	124475	
"Iraq"	6.60	5.77	4.17	3.63	5.50	8.27	3.46	4.73	4.10	4.32	4.32	4.63	4.31	4.09	3.90	6.40	3.86	6.21	4.15	3.81	623	163447	
"Germany"	5.23	5.75	6.44	6.57	5.94	8.35	6.56	5.82	7.09	7.25	7.41	7.06	6.80	6.13	5.97	5.16	5.25	5.69	5.86	5.07	583	115079	
"Denmark"	5.51	5.99	6.32	6.31		5.62		6.59	5.99	9.38	6.34	5.56	5.23	4.92	4.68	4.18	3.38	2.89	4.32	4.79	421	87891	
"United States of America"	9.07	8.53	11	11	10	7.01	11	9.37	10	12	13	8.50	12	8.51	11	17	8.66	13	8.92	9.03	342	37890	
"Belgium"	4.34	4.52	4.66	6.74	6.89	8.02	6.66	4.86	7.50	6.17	6.27	5.54	4.94	5.67	8.19	5.71	6.28	6.00	5.65	6.41	329	51362	
"Saudi Arabia"	4.06	36	4.03	3.49		14	5.88		7.08	6.09	9.08	11	10	7.72	9.49	12	5.48	8.91	7.49	7.25	299	41225	
"Kazakhstan"	8.88	11	4.30	9.03	7.97	9.56	3.95	5.70	6.29	6.26	4.80	8.18	5.41	4.42	10	8.35	4.27	3.79	4.31	3.99	297	74500	
"Austria"	5.76	6.57	7.55	7.07	7.59	7.24	8.91	7.58	8.38	7.06	9.47	8.61	7.56	7.70	9.67	10	5.68	5.42	6.06	7.68	256	33325	
"Netherlands"	9.17	4.81	7.37	5.79	6.49	6.52	6.19	7.23	6.26	6.70	6.44	7.54	7.81	9.56	12	10	12	11	8.15	6.63	254	38331	
"Portugal"	7.43	10	6.29	3.89	6.77		6.94	9.30		4.22	5.53	9.02	5.14	7.76	5.13	5.03	5.03	4.03	4.46	7.26	235	32372	
"Russian Federation"	5.93	6.20	6.24	5.82	5.03	6.95	7.26	4.02	5.94	6.99	5.48	5.88	7.10	8.28	7.68	7.88	9.06	7.17	5.81	5.82	216	37119	
"Sweden"	7.23	5.18	10	19		6.32	6.40	3.79		5.41	6.29	6.70	8.75	9.42	8.90	14	5.60	6.32	5.55	5.81	158	27178	
"Israel"	6.07	6.83	6.02	5.20	6.39	7.35	7.31	7.45	6.27	8.83	8.30	7.03	6.63	6.93	5.95	6.05	5.30	5.49	5.52	5.57	157	28212	
"Ireland"		7.11	10	6.84	10	9.95	7.32	11	9.28	12	13	9.67	8.53	9.83	9.08	8.51	9.49	5.89	5.99	7.15	156	21829	
"Switzerland"	6.14	8.15		4.92		2.5	10	8.33	7.34	7.26	5.05	8.79	4.78	5.56	4.74	9.17	4.02	4.70	15	4.50	130	28873	
"Azerbaijan"	4.47	6.51	9.01	7.64	11	11	14	58	12	12	8.48	12	8.55	4.12	11	4.94	11	6.18	7.27	5.30	104	19612	
"Spain"	6.67	6.03	3.95	6.49	12		6.62	6.51	4.17	7.72	5.62	4.48	4.64	4.66	6.72	4.31	3.76	3.73	9.13	3.83	102	26598	
"Kenya"	5				6.64	12		9.49				6.89	8.67	18	9.76	0	8.32	7.23	6.83	8.78	81	9230	
"Greece"	5.77	6.35	6.08	6.83	6.93	6.35	9.10	12	6.79	14	6.87	7.29	7.25	6.61	6.37	6.73	4.93	7.37	7.98	5.88	80	13613	
"Iran, Islamic Republic of"	4.55	4.81	36		9.09			11	8					7.35	160	5.02	3.38		4.99	4.65	77	16560	
"Hong Kong, China"				4.20	6.82	14	8.77	13	8.25	8.18	7.04		3.18	9.77	12		6.75	5.98		6.03	64	10617	
"Norway"	6.64	7.59	5.76	6.11			6.67		6.51	6.90	9.28	8.08	8.33		7.58	13	8.49	7.05		9.46	59	6235	
"Hungary"	6.38	5.65	5.93	5.25	5.25	7.35	4.69	8.14	7.93	7.48	5.72	7.65	6.09	5.92	4.75	4.77	7.64	6.96	4.33	6.42	48	7478	
"Cyprus"	6.62	11	4.66	6.59	8.47	10	20	16	7.79	8.52	11	7.49	7.23	11	4.85	9.84	5.61	6.90	6.56	5.77	44	7628	
"Japan"	21	20		19		16		21	19				22	21		21	19		16	12	44	3672	
"Slovakia"	3.81			4.98	18	5.17		8.33			5.92		5.75	4.69	4.38		12		5.35	5.80	32	5522	
"United Arab Emirates"	12	9.79				14	10	6.78	9.90	14	6.41	16	33	4.41	9.52	12	4.03	4.54	2.46	6.10	32	5245	
"Romania"	4.68	4.98	4.60	4.12	6.40	11	6.25	5.19	5.43	6.02	5.44	5.69	5.59	5.77	3.87	7.23	4.93	5.37	5.23	11	28	2508	
"Italy"	5.10	4.86	5.66	5.36	7.89	5.83	4.28	7.14	5.88	8.06	9.15	7.08	5.57	5.24	4.88	6.46	4.43	5.28	7.74	4.73	27	5708	
"Australia"	4.72	14	7.37	11	12	19	16	8.89	17	13	9.16	7.54		9.13	14	8.57	8.84	5.06	5.00	4.88	24	4918	
"Georgia"	5.47	4.60	5.93	9.52	9.44	9.70	10	6.75	6.64	5.05	4.41	4.87	4.99	5.17	4.78	4.00	5.10	7.71	11	9.84	20	2032	
"Macedonia, The Former Yugoslav Republic of"	4.08	1.47	4.06			4.43	6.40		20		5.38	6.99	4.16	4.22	4.81	3.59	4.91		5.70	3.33	17	5100	
"Poland"	5.86	7.71	4.14	5.91	5.88	9.38		6.46	6.15	8.20	8.16	7.52	7.79	6.00	7.66	7.08	6.46	6.51	0.99	3.91	16	4094	
"Free Zones"	6.87	4.82	4.34	20			14	17	5.50	5.30	16	6.19	4.98	4.45	4.11	4.05	4.76	3.76	3.82	8.51	15	1763	
"Qatar"		5.88		5		13					8.05	26							13	6.37	14	2197	
"Senegal"					11				6.90			6.67		7.05	11	8.82			12	7.74	13	1680	
"Finland"			5.08				8.89		6.90	11		0	6.67	4.35		10		5.49	9.93	8.02	13	1620	
"Jordan"		5					9.18	9.12		6.28				8.74	9.92	4.12		5.44	14	7.00	12	1715	
