Importers	2005-M01-Exported unit value, US Dollar/Units	2005-M02-Exported unit value, US Dollar/Units	2005-M03-Exported unit value, US Dollar/Units	2005-M04-Exported unit value, US Dollar/Units	2005-M05-Exported unit value, US Dollar/Units	2005-M06-Exported unit value, US Dollar/Units	2005-M07-Exported unit value, US Dollar/Units	Exported value in 2005-M07, US Dollar thousand	Exported quantity in 2005-M07, Units	
"World"	112	80	68	78	107	80	78	14570	186441	
"United States of America"	111	140	85	117	125	98	130	3169	24326	
"Japan"	180	139	86	65	98	123	118	1831	15548	
"Italy"	27	20	22	19	38	20	22	1016	47070	
"Indonesia"	322	240	201	179	275	173	203	788	3891	
"United Kingdom"	106	74	29	64	72	56	44	652	14952	
"Korea, Republic of"	46	101	76	34	25	30	27	556	20762	
"Hong Kong, China"	347	318	112	229	339	447	437	510	1167	
"Morocco"				17	212	280	291	499	1714	
"Belgium"	68	165	22	30	18	64	22	485	22135	
"Australia"	244	211	371	133	185	119	184	461	2505	
"Germany"	95	42	103	275	241	137	133	425	3197	
"Singapore"	437	239	504	310	301	225	166	357	2153	
"Taipei, Chinese"	124	727	247	624	180	331	319	281	882	
"Canada"	72	51	61	18	27	136	67	250	3757	
"France"	43	82	96	89	57	88	104	228	2199	
"United Arab Emirates"	85	86	179	127	267	117	236	223	945	
"Malaysia"	1886	154	1792	1358	328	1338	192	200	1041	
"Kazakhstan"	181	182	201	259	229	251	243	190	781	
"Spain"	45	440	37	23	45	39	121	186	1534	
"Denmark"	26	22	40	124	717	373	340	181	533	
"New Zealand"	704	719	436	269	359	106	56	165	2944	
"Saudi Arabia"	249	109	124	313	973	149	248	155	624	
"Philippines"	124	543	481	144	175	255	265	132	498	
"Netherlands"	26	192	47	29	43	69	303	126	416	
"Kuwait"	800	250	637	881	107	123	692	110	159	
"Nigeria"	267	87	107	110	110	294	159	84	528	
"Sri Lanka"	1857	1375	348	227	185	924	187	77	411	
"Russian Federation"		227	241	429	779	990	406	69	170	
"Portugal"	667		45		23	23	63	68	1072	
"Korea, Democratic People's Republic of"	171	130	212	207	369	139	153	60	392	
"Algeria"				182		244	1439	59	41	
"Thailand"	1792	24	74	13	269	1000	35	59	1695	
"Lebanon"	240			375	366	750	338	53	157	
"Kyrgyzstan"			284		230	208	242	52	215	
"Viet Nam"	276	230	178	249	164	290	171	44	258	
"Cyprus"			500	200	400	13	263	41	156	
"Brunei Darussalam"			727		137	500	392	40	102	
"South Africa"	173	118	234	197		180	97	34	349	
"Brazil"	1750				55		192	30	156	
"Greece"	513	615	47	90	164	103	133	28	210	
"Israel"	25	41	536	508	40	68	307	27	88	
"Sweden"	21	20	39	174			255	27	106	
"Qatar"	141		698			400	406	26	64	
