Importers	2008-M09-Exported unit value, US Dollar/Units	2008-M10-Exported unit value, US Dollar/Units	2008-M11-Exported unit value, US Dollar/Units	2008-M12-Exported unit value, US Dollar/Units	2009-M01-Exported unit value, US Dollar/Units	2009-M02-Exported unit value, US Dollar/Units	2009-M03-Exported unit value, US Dollar/Units	2009-M04-Exported unit value, US Dollar/Units	2009-M05-Exported unit value, US Dollar/Units	2009-M06-Exported unit value, US Dollar/Units	2009-M07-Exported unit value, US Dollar/Units	2009-M08-Exported unit value, US Dollar/Units	2009-M09-Exported unit value, US Dollar/Units	2009-M10-Exported unit value, US Dollar/Units	2009-M11-Exported unit value, US Dollar/Units	2009-M12-Exported unit value, US Dollar/Units	2010-M01-Exported unit value, US Dollar/Kilograms	2010-M02-Exported unit value, US Dollar/Kilograms	2010-M03-Exported unit value, US Dollar/Kilograms	2010-M04-Exported unit value, US Dollar/Kilograms	Exported value in 2010-M04, US Dollar thousand	Exported quantity in 2010-M04, Kilograms	
"World"	149	161	159	183	145	145	129	123	136	119	127	164	150	139	149	135	3.05	2.87	3.16	3.00	10728	3578767	
"United States of America"	187	125	129	789	717	750	139	153	176	169	121	128	803	128	97	137	3.09	3.07	3.07	3.07	1675	545292	
"Germany"	120	132	104	87	123	105	95	107	101	72	193	183	229	96	81	113	2.42	2.50	2.48	2.45	1385	564675	
"Japan"	165	172	158	171	214	161	152	139	140	152	147	181	168	166	170	155	4.38	3.80	4.60	4.71	1153	244619	
"France"	125	123	170	170	187	110	152	105	148	95	110	178	152	163	250	154	3.54	3.41	3.15	2.87	1055	367189	
"Iran, Islamic Republic of"	128		128	128	119	55	109	114	93	140	165	195	138	113	152	112	2.66	2.85	3.25	3.31	796	240383	
"Italy"	306	441	684	163	670	92	108	183	202	120	137	319	120	367	547	272	4.18	4.12	3.14	3.18	692	217456	
"Netherlands"	121	115	147	110	86	109	96	86	91	84	95	104	79	110	90	85	2.37	2.53	3.00	2.72	621	228080	
"United Kingdom"	116	124	150	320	130	127	91	113	130	100	97	129	127	123	119	153	3.06	3.46	3.73	3.68	608	165079	
"Belgium"	119	129	171	129	138	158	130	133	111	92	147	176	179	109	159	163	3.05	4.47	3.32	2.90	535	184197	
"Spain"	148	113	205	145	192	141	159	154	167	138	157	186	222	311	154	178	3.21	3.67	2.83	4.12	329	79796	
"Denmark"	769	959		1048	224	719	638	1000	170	332	180	294	397	383	232	451	4.34	3.22	4.21	4.80	216	44957	
"Algeria"			82		134	135	151	152	132	117	127		88				0.95	1.23	2.47	0.85	169	198725	
"Australia"	152	147	138	956	124	1500	127	126		85	99	653	317	562	422	95	3.56	2.93	4.29	3.33	155	46556	
"Israel"	839			112	469		133	174	144	99	157	101	163	156	112	106	3.90	2.71	3.01	2.79	152	54507	
"Philippines"	1000								172			1000	177	200			3.26			2.65	133	50216	
"Canada"								96		96	96	103	96	95	142	185	12	3.22	3.20	3.04	95	31231	
"New Zealand"	141	1000	101		95	107		91	500	123	128	139		141	126	96	3.20	2.91	2.56	2.89	88	30471	
"Lebanon"		138	202			125	620	227		113	1667	240	197	122	128	139	3.16		4.33	4.26	88	20670	
"Russian Federation"	164	157	141	373		137	429		128	130	136	149	131	131	140	133	4.98	2.92	3.82	2.38	65	27359	
"Jordan"	156		141	149	138		113		145	97	118	131	126		139	113		2.07	2.57	2.27	64	28138	
"Switzerland"	744	244	218	141	122	127	97	210	143	108	309	286	374	190	162	206	3.54	3.90	3.95	4.79	57	11898	
"Greece"								96	1000			722			786		2.90		4.93	2.53	48	18993	
"India"	1041	771	1056	845	909	900	1273	759	805	1667	697	1400	783	534	714	1000	5.93	5.99	13	5.69	45	7912	
"Sweden"	112	125				347		99									3.12	2.78	2.20	2.20	44	19992	
"Côte d'Ivoire"				122						206		156	197	139		94	3.23			2.70	44	16271	
"Saudi Arabia"												130					2.74	2.60		5.42	39	7195	
"United Arab Emirates"	187	148	124	500	151	343	144	128	182	147	108	178	128	143	156	123	2.96	2.62	3.51	2.93	38	12986	
"Czech Republic"	97	117	111	104	113	120	104	101	89	94	82		102	94	306	137	3.19	3.13	3.64	2.76	38	13780	
